docket,sitting,case,lower_court,consolidated_case_1,consolidated_docket_1,consolidated_lower_court_1,short_hand,major_case
23-167,,Hamm v. Smith,CA11,,,,Hamm,
23-6573,,Andrew v. White,CA10,,,,Andrew,
24A910,,Department of Education v. California,DCMA,,,,DOE v. CA,
24A931,,Trump v. J.G.G.,DCDC,,,,Trump v. J.G.G.,
23-191,October,Williams v. Washington,SCAL,,,,Willaims,
23-677,October,Royal Canin v. Wullschleger,CA8,,,,Royal Canin,
23-852,October,Garland v. Vanderstok,CA5,,,,Vanderstok,
23-621,October,Lackey v. Stinnie,CA4,,,,Lackey,
22-7466,October,Glossip v. Oklahoma,CCAOK,,,,Glossip,1
23-365,October,Medical Marijuana Inc. v. Horn,CA2,,,,Medical Marijuana,
23-583,October,Bouarafa v. Mayorkas,CA11,,,,Bouarafa,
23-713,October,Bufkin v. McDonough,CAFC,,,,Bufkin,
23-753,October,San Francisco v. EPA,CA9,,,,SF v. EPA,
23-1127,November,"Wisconsin Bell  v. United States, ex rel. Heath",CA7,,,,Wisconsin Bell,
23-715,November,Advocate Christ Medical Center v. Becerra,CADC,,,,Advocate Christ Medical,
23-217,November,"E.M.D. Sales, Inc v. Carrera",CA4,,,,E.M.D. Sales,
23-980,November,Facebook v. Amalgamated Bank,CA9,,,,Facebook,
23-929,November,Velazquez v. Garland,CA2,,,,Velazquez,
23-825,November,Delligatti v. United States.,CA2,,,,Delligatti,
23-970,November,NVIDIA Corp.  v. E. Ohman J:or Fonder AB,CA9,,,,NVIDIA,
23-1038,December,FDA v. Wages and White Lion Investments,CA5,,,,Wages and White Lion ,
23-824,December,United States v. Miller,CA10,,,,Miller,
23-867,December,Hungary v. Simon,CADC,,,,Hungary,
23-477,December,United States v. Skrmetti,CA6,,,,Skrmetti,1
23-909,December,Kousisis v. United States,CA3,,,,Kouisisis,
23-861,December,Feliciano v. Department of Transportation.,CAFC,,,,Feliciano,
23-975,December,Seven County Infrastructure Coalition v. Eagle County,CADC,,,,Seven County,
23-900,December,"Dewberry Group, Inc. v. Dewberry Engineers Inc.",CA4,,,,Dewberry,
23-1002,January,Hewitt v. United States,CA5,Duffey v. United States,23-1150,CA5,Hewitt,
23-997,January,Stanley v. City of Sanford,CA11,,,,Stanley,
23-1095,January,Thompson v. United States.,CA7,,,,Thompson,
23-971,January,Waetzig v. Halliburton Energy Services,CA10,,,,Waetzig,
23-1122,January,Free Speech Coalition v. Paxton,CA5,,,,Free Speech,
23-1187,January,FDA v. R.J. Reynolds Vapor Co.,CA5,,,, R.J. Reynolds ,
23-1226,January,McLaughlin Chiropractic v. McKesson Corp,CA9,,,,McLaughlin,
23-1239,January,Barnes v. Felix,CA5,,,,Barnes,
23-1007,January,Cunningham v. Cornell University,CA2,,,,Cunningham,
24-656,January,"TikTok, Inc. v. Garland",CADC,,,,TikTok,1
23-7809,February,Gutierrez v. Saenz,CA5,,,,Guitierrez,
23-7483,February,Esteras v. United States,CA6,,,,Esteras,
23-1324,February,Perttu v. Richards,CA6,,,,Perttu,
23-1039,February,Ames v. OH Dept. of Youth Services,CA6,,,,Ames,
23-1201,February,CC/Devas v. Antrix Corp.,CA9,Devas Multimedia v. Antrix,24-17,CA9,CC/Devas,
23-1259,February,BLOM Bank SAL v. Honickman,CA2,,,,BLOM Bank,
23-1141,February,Smith and Wesson v. Estados Unidos Mexicanos,CA1,,,,Smith and Wesson,
23-1300,February,NRC v. Texas,CA5,Interim Storage Partners v. Texas,23-1312,CA5,NRC,
24-109,March,Lousiana v. Callais,WDLA,Robinson v. Callais,24-110,WDLA,Lousiana,
23-1270,March,Riley v. Bondi,CA4,,,,Riley,
23-1229,March,EPA v. Calumet Shreveport Refining,CA5,,,,Calumet ,
23-1067,March,Oklahoma v. EPA,CA10,Pacificorp v. EPA,23-1068,CA10,Oklahoma,
24-354,March,FCC v. Consumers' Research,CA5,SHLB Coalition v. Consumers' Reserch,24-422,CA5,Consumers' Research,
24-154,March,Catholic Charities Bureau v. WI Labor and Industry Review,SCWI,,,,Catholic Charities,
23-1345,March,Rivers v. Guerrero,CA5,,,,Rivers,
24-20,March,Fuld v. PLO,CA2,United States v. PLO,24-151,CA2,Fuld,
23-1275,March,Medina v. Planned Parenthood South Atlantic,CA4,,,,Medina,
24-316,April,Kennedy v. Braidwood MGMT,CA5,,,,Kennedy,
24-275,April,Parrish v. United States,CA4,,,,Parrish,
24-297,April,Mahmoud v. Taylor,CA4,,,,Mahmoud,
24-416,April,Cir v. Zuch,CA3,,,,Cir,
24-7,April,Diamond Alternative Energy v. EPA,CADC,,,,Diamond,
24-249,April,A.J.T. v. Osseo Area Schools,CA8,,,,A.J.T.,
24-320,April,Soto v. United States,CAFED,,,,Soto,
24-362,April,Martin v. United States,CA11,,,,Martin,
24-304,April,Laboratory Corp. of America v. Davis,CA9,,,,Laboratory Corp.,
24-394,April,OK Charter School Board v. Drummond,SCOK,St. Isidore of Seville Sch. v. Drummond,23-396,SCOK,Drummond,1
24A884,May,Trump v. CASA Inc.,CA4,,,,Trump v. CASA,1
