Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Glossip v. Oklahoma,22-7466,Sotomayor,M,D,JD,M*,M,DNP,M,SC,M
Waetzig v. Halliburton Energy Services,23-971,Alito,M,M,M*,M,M,M,M,M,M
Dewberry Group Inc. v. Dewberry Engineers Inc.,23-900,Kagan,M,M,M,RC,M*,M,M,M,M
San Francisco v. EPA,23-753,Alito,M,M,M*,JSC,JSC,M,M,SC,JSC
Bufkin v. McDonough,23-713,Thomas,M,M*,M,M,M,JD,M,M,D
Thompson v. United States.,23-1095,Roberts,M*,M,RC,M,M,M,M,M,RC
Delligatti v. United States.,23-825,Thomas,M,M*,M,M,M,D,M,M,JD
Garland v. Vanderstok,23-852,Gorsuch,M,D,D,RC,M,M*,RC,M,RC
United States v. Miller,23-824,Jackson,M,M,M,M,M,D,M,M,M*
FDA v. Wages and White Lion Investments,23-1038,Alito,M,M,M*,RC,M,M,M,M,M
Medical Marijuana Inc. v. Horn,23-365,Barrett,JD,D,JD,M,M,M,D,M*,M
Department of Education v. California,24A910,Per Curiam,JD,M,M,JD,D,M,M,M,D
