case,authorship,opinion_type,word_count
BLOM Bank SAL v. Honickman,Jackson,Special Concurrence,1784
NRC v. Texas,Kavanaugh,Opinion,7206
NRC v. Texas,Gorsuch,Dissent,7609
Perttu v. Richards,Roberts,Opinion,5271
Perttu v. Richards,Barrett,Dissent,5271
Rivers v. Guerrero,Jackson,Opinion,3963
Williams v. Washington,Kavanaugh,Opinion,2999
Williams v. Washington,Thomas,Dissent,3796
E.M.D. Sales Inc v. Carrera,Kavanaugh,Opinion,2251
E.M.D. Sales Inc v. Carrera,Gorsuch,Concurrence,207
Medical Marijuana Inc. v. Horn,Barrett,Opinion,5862
Medical Marijuana Inc. v. Horn,Jackson,Concurrence,114
Medical Marijuana Inc. v. Horn,Thomas,Dissent,3362
Medical Marijuana Inc. v. Horn,Kavanaugh,Dissent,8325
United States v. Skrmetti,Roberts,Opinion,7407
United States v. Skrmetti,Alito,Special Concurrence,6921
United States v. Skrmetti,Thomas,Concurrence,6952
United States v. Skrmetti,Barrett,Concurrence,2751
United States v. Skrmetti,Barrett,Concurrence,484
United States v. Skrmetti,Sotomayor,Dissent,7659
United States v. Skrmetti,Sotomayor,Dissent,2309
United States v. Skrmetti,Kagan,Dissent,257
Bouarafa v. Mayorkas,Jackson,Opinion,3472
Lackey v. Stinnie,Roberts,Opinion,4106
Lackey v. Stinnie,Jackson,Dissent,5802
Andrew v. White,Alito,Concurrence,87
Andrew v. White,Thomas,Dissent,5754
Royal Canin v. Wullschleger,Kagan,Opinion,6487
Bufkin v. McDonough,Thomas,Opinion,5097
Bufkin v. McDonough,Jackson,Dissent,6250
