"case","authorship","opinion_type","word_count"
"Glossip v. Oklahoma","Sotomayor","Opinion",9368
"Glossip v. Oklahoma","Barrett","Special Concurrence",1384
"Glossip v. Oklahoma","Thomas","Dissent",14227
"Hewitt v. United States","Jackson","Opinion",6154
"Hewitt v. United States","Alito","Dissent",6770
"Cunningham v. Cornell University","Sotomayor","Opinion",4674
"Cunningham v. Cornell University","Alito","Concurrence",764
"FDA v. Wages and White Lion Investments","Alito","Opinion",14114
"FDA v. Wages and White Lion Investments","Sotomayor","Concurrence",195
"Ames v. OH Dept. of Youth Services","Jackson","Opinion",2221
"Ames v. OH Dept. of Youth Services","Thomas","Concurrence",3935
"Oklahoma v. EPA","Thomas","Opinion",3483
"Oklahoma v. EPA","Gorsuch","Special Concurrence",81
"Thompson v. United States.","Roberts","Opinion",2660
"Thompson v. United States.","Alito","Concurrence",952
"Thompson v. United States.","Jackson","Concurrence",223
"Free Speech Coalition v. Paxton","Thomas","Opinion",9640
"Free Speech Coalition v. Paxton","Kagan","Dissent",7141
"Wisconsin Bell  v. United States ex rel. Heath","Kagan","Opinion",4283
"Wisconsin Bell  v. United States ex rel. Heath","Thomas","Concurrence",3640
"Wisconsin Bell  v. United States ex rel. Heath","Kavanaugh","Concurrence",98
"Smith and Wesson v. Estados Unidos Mexicanos","Kagan","Opinion",4405
"Smith and Wesson v. Estados Unidos Mexicanos","Thomas","Concurrence",340
"Smith and Wesson v. Estados Unidos Mexicanos","Jackson","Concurrence",701
"FDA v. R.J. Reynolds Vapor Co.","Barrett","Opinion",3224
"FDA v. R.J. Reynolds Vapor Co.","Jackson","Dissent",5084
"CC/Devas v. Antrix Corp.","Alito","Opinion",3523
"McLaughlin Chiropractic v. McKesson Corp","Kavanaugh","Opinion",5681
"McLaughlin Chiropractic v. McKesson Corp","Kagan","Dissent",4367
"EPA v. Calumet Shreveport Refining","Thomas","Opinion",5967
"EPA v. Calumet Shreveport Refining","Gorsuch","Dissent",4384
"Barnes v. Felix","Kagan","Opinion",2828
"Barnes v. Felix","Kavanaugh","Concurrence",1928
"BLOM Bank SAL v. Honickman","Thomas","Opinion",3494
"BLOM Bank SAL v. Honickman","Jackson","Special Concurrence",1766
"Riley v. Bondi","Alito","Opinion",4973
"Riley v. Bondi","Thomas","Concurrence",1275
"Riley v. Bondi","Sotomayor","Dissent",7416
"Medina v. Planned Parenthood South Atlantic","Gorsuch","Opinion",6481
"Medina v. Planned Parenthood South Atlantic","Thomas","Concurrence",3198
"Medina v. Planned Parenthood South Atlantic","Jackson","Dissent",5761
"NRC v. Texas","Kavanaugh","Opinion",6601
"NRC v. Texas","Gorsuch","Dissent",7006
"Perttu v. Richards","Roberts","Opinion",4697
"Perttu v. Richards","Barrett","Dissent",4713
"Rivers v. Guerrero","Jackson","Opinion",3908
"Hamm v. Smith","Per Curiam","Per Curiam",410
"Hamm v. Smith","Per Curiam","Per Curiam",20
