Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
A.J.T. v. Osseo Area Schools,24-249,Lisa S. Blatt,701,308,184,582,0,94,977,322,974
A.J.T. v. Osseo Area Schools,24-249,Nicole F. Reaves,357,172,494,0,190,262,755,162,257
A.J.T. v. Osseo Area Schools,24-249,Roman Martinez,1189,246,161,404,164,216,706,287,224
Parrish v. United States,24-275,Aimee W. Brown,197,162,0,213,0,694,182,248,261
Parrish v. United States,24-275,Amanda Rice,517,99,88,112,170,324,213,0,285
Parrish v. United States,24-275,Michael R. Huston,902,183,259,226,492,0,158,7,1029
Mahmoud v. Taylor,24-297,Alan E. Schoenfeld,549,472,1256,479,180,1064,749,1196,445
Mahmoud v. Taylor,24-297,Eric S. Baxter,1420,362,291,522,608,237,650,685,623
Mahmoud v. Taylor,24-297,Sarah M. Harris,291,240,0,182,831,390,520,295,800
Laboratory Corp. of America v. Davis,24-304,Deepak Gupta,741,167,925,246,245,0,1063,896,505
Laboratory Corp. of America v. Davis,24-304,Noel J. Francisco,1104,1081,570,905,1080,645,438,571,1081
Laboratory Corp. of America v. Davis,24-304,Sopan Joshi,332,233,124,161,388,1145,6,0,455
Kennedy v. Braidwood MGMT,24-316,Hashim M. Mooppan,1452,514,514,185,471,440,558,343,523
Kennedy v. Braidwood MGMT,24-316,Jonathan F. Mitchell,494,250,488,554,951,843,1090,173,652
Soto v. United States,24-320,Caroline A. Flynn,648,225,192,285,450,407,291,287,627
Soto v. United States,24-320,Tacy F. Flint,1268,186,372,290,679,93,412,175,316
Martin v. United States,24-362,Christopher E. Mills,149,180,0,0,537,0,0,0,100
Martin v. United States,24-362,Frederick Liu,579,88,0,383,0,274,25,0,203
Martin v. United States,24-362,Patrick M. Jaicomo,1345,218,364,520,0,643,0,0,378
OK Charter School Board v. Drummond,24-394,D. John Sauer,358,219,152,221,465,123,3,0,451
OK Charter School Board v. Drummond,24-394,Gregory G. Garre,657,745,1395,384,306,303,1337,0,639
OK Charter School Board v. Drummond,24-394,James A. Campbell,362,427,205,282,503,296,493,0,368
OK Charter School Board v. Drummond,24-394,Michael H. McGinley,652,296,0,203,514,83,304,0,195
Commissioner of IRS v. Zuch,24-416,Erica L. Ross,953,540,297,320,398,1258,432,0,209
Commissioner of IRS v. Zuch,24-416,Shay Dvoretzky,319,207,50,208,0,182,819,0,301
Diamond Alternative Energy v. EPA,24-7,Edwin S. Kneedler,251,104,254,226,410,0,267,0,372
Diamond Alternative Energy v. EPA,24-7,Jeffrey B. Wall,1081,231,406,615,372,0,125,491,784
Diamond Alternative Energy v. EPA,24-7,Joshua A. Klein,173,244,130,0,371,0,175,392,235
