Case,Docket,Attorney,Time Speaking
A.J.T. v. Osseo Area Schools,24-249,Lisa S. Blatt,22.48
A.J.T. v. Osseo Area Schools,24-249,Nicole F. Reaves,13.63
A.J.T. v. Osseo Area Schools,24-249,Roman Martinez,17.4
Parrish v. United States,24-275,Aimee W. Brown,9.2
Parrish v. United States,24-275,Amanda Rice,9.18
Parrish v. United States,24-275,Michael R. Huston,17.5
Mahmoud v. Taylor,24-297,Alan E. Schoenfeld,30.7
Mahmoud v. Taylor,24-297,Eric S. Baxter,26.19
Mahmoud v. Taylor,24-297,Sarah M. Harris,16.64
Laboratory Corp. of America v. Davis,24-304,Deepak Gupta,25.62
Laboratory Corp. of America v. Davis,24-304,Noel J. Francisco,39.64
Laboratory Corp. of America v. Davis,24-304,Sopan Joshi,15.2
Kennedy v. Braidwood MGMT,24-316,Hashim M. Mooppan,25.66
Kennedy v. Braidwood MGMT,24-316,Jonathan F. Mitchell,25.82
Soto v. United States,24-320,Caroline A. Flynn,17.64
Soto v. United States,24-320,Tacy F. Flint,23.78
Martin v. United States,24-362,Christopher E. Mills,5.74
Martin v. United States,24-362,Frederick Liu,9.34
Martin v. United States,24-362,Patrick M. Jaicomo,18.55
OK Charter School Board v. Drummond,24-394,D. John Sauer,9.68
OK Charter School Board v. Drummond,24-394,Gregory G. Garre,29.26
OK Charter School Board v. Drummond,24-394,James A. Campbell,15.98
OK Charter School Board v. Drummond,24-394,Michael H. McGinley,11
Cir v. Zuch,24-416,Erica L. Ross,21.57
Cir v. Zuch,24-416,Shay Dvoretzky,12.02
Diamond Alternative Energy v. EPA,24-7,Edwin S. Kneedler,12.34
Diamond Alternative Energy v. EPA,24-7,Jeffrey B. Wall,20.25
Diamond Alternative Energy v. EPA,24-7,Joshua A. Klein,10.92
