Case,Docket,Attorney,Time Speaking,Total Words
A.J.T. v. Osseo Area Schools,24-249,Lisa S. Blatt,22.48,4304
A.J.T. v. Osseo Area Schools,24-249,Nicole F. Reaves,13.63,2735
A.J.T. v. Osseo Area Schools,24-249,Roman Martinez,17.4,3755
Parrish v. United States,24-275,Aimee W. Brown,9.2,2025
Parrish v. United States,24-275,Amanda Rice,9.18,1930
Parrish v. United States,24-275,Michael R. Huston,17.5,3341
Mahmoud v. Taylor,24-297,Alan E. Schoenfeld,30.7,6584
Mahmoud v. Taylor,24-297,Eric S. Baxter,26.19,5570
Mahmoud v. Taylor,24-297,Sarah M. Harris,16.64,3672
Laboratory Corp. of America v. Davis,24-304,Deepak Gupta,25.62,4953
Laboratory Corp. of America v. Davis,24-304,Noel J. Francisco,39.64,7723
Laboratory Corp. of America v. Davis,24-304,Sopan Joshi,15.2,2964
Kennedy v. Braidwood MGMT,24-316,Hashim M. Mooppan,25.66,5163
Kennedy v. Braidwood MGMT,24-316,Jonathan F. Mitchell,25.82,5704
Soto v. United States,24-320,Caroline A. Flynn,17.64,3520
Soto v. United States,24-320,Tacy F. Flint,23.78,3914
Martin v. United States,24-362,Christopher E. Mills,5.74,985
Martin v. United States,24-362,Frederick Liu,9.34,1607
Martin v. United States,24-362,Patrick M. Jaicomo,18.55,3567
OK Charter School Board v. Drummond,24-394,D. John Sauer,9.68,2047
OK Charter School Board v. Drummond,24-394,Gregory G. Garre,29.26,6003
OK Charter School Board v. Drummond,24-394,James A. Campbell,15.98,3030
OK Charter School Board v. Drummond,24-394,Michael H. McGinley,11,2321
Cir v. Zuch,24-416,Erica L. Ross,21.57,4573
Cir v. Zuch,24-416,Shay Dvoretzky,12.02,2155
Diamond Alternative Energy v. EPA,24-7,Edwin S. Kneedler,12.34,1933
Diamond Alternative Energy v. EPA,24-7,Jeffrey B. Wall,20.25,4366
Diamond Alternative Energy v. EPA,24-7,Joshua A. Klein,10.92,1767
