Case,Attorney,Docket,total_words
A.J.T. v. Osseo Area Schools,Lisa S. Blatt,24-249,4304
A.J.T. v. Osseo Area Schools,Nicole F. Reaves,24-249,2735
A.J.T. v. Osseo Area Schools,Roman Martinez,24-249,3755
Parrish v. United States,Aimee W. Brown,24-275,2025
Parrish v. United States,Amanda Rice,24-275,1930
Parrish v. United States,Michael R. Huston,24-275,3341
Mahmoud v. Taylor,Alan E. Schoenfeld,24-297,6584
Mahmoud v. Taylor,Eric S. Baxter,24-297,5570
Mahmoud v. Taylor,Sarah M. Harris,24-297,3672
Laboratory Corp. of America v. Davis,Deepak Gupta,24-304,4953
Laboratory Corp. of America v. Davis,Noel J. Francisco,24-304,7723
Laboratory Corp. of America v. Davis,Sopan Joshi,24-304,2964
Kennedy v. Braidwood MGMT,Hashim M. Mooppan,24-316,5163
Kennedy v. Braidwood MGMT,Jonathan F. Mitchell,24-316,5704
Soto v. United States,Caroline A. Flynn,24-320,3520
Soto v. United States,Tacy F. Flint,24-320,3914
Martin v. United States,Christopher E. Mills,24-362,985
Martin v. United States,Frederick Liu,24-362,1607
Martin v. United States,Patrick M. Jaicomo,24-362,3567
OK Charter School Board v. Drummond,D. John Sauer,24-394,2047
OK Charter School Board v. Drummond,Gregory G. Garre,24-394,6003
OK Charter School Board v. Drummond,James A. Campbell,24-394,3030
OK Charter School Board v. Drummond,Michael H. McGinley,24-394,2321
Cir v. Zuch,Erica L. Ross,24-416,4573
Cir v. Zuch,Shay Dvoretzky,24-416,2155
Diamond Alternative Energy v. EPA,Edwin S. Kneedler,24-7,1933
Diamond Alternative Energy v. EPA,Jeffrey B. Wall,24-7,4366
Diamond Alternative Energy v. EPA,Joshua A. Klein,24-7,1767
