case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
A.J.T. v. Osseo Area Schools,24-249,2.01,0.43,3.46,5.03,0.85,5.33,6.42,1.57,7.41
Parrish v. United States,24-275,1.76,0.44,0.81,3.61,0.75,2.17,0.79,0.35,7.35
Mahmoud v. Taylor,24-297,2.91,2.17,9.89,9.33,8.99,8.41,6.85,11.49,15.75
Laboratory Corp. of America v. Davis,24-304,2.58,1.03,5.39,11.52,8.3,6.63,2.74,5.93,10.7
Kennedy v. Braidwood MGMT,24-316,1.14,1.64,3.13,3.92,4.64,4.39,5.87,2.88,7.11
Soto v. United States,24-320,2.12,0.89,2.08,2.62,2.76,1.68,2.28,1.32,5.66
Martin v. United States,24-362,1.51,1,0.83,7.36,0.58,2.63,0.36,0,4.47
OK Charter School Board v. Drummond,24-394,3.55,2.33,6.25,11.48,11.57,4.29,8.73,0,17.08
Cir v. Zuch,24-416,0.53,1.33,0.39,1.8,0.74,4.21,0.76,0,4.17
Diamond Alternative Energy v. EPA,24-7,0.99,1.54,2.19,4.33,3.11,0,1.23,1.78,6.16
