"case_name","docket","ROBERTS","THOMAS","ALITO","SOTOMAYOR","KAGAN","GORSUCH","KAVANAUGH","BARRETT","JACKSON"
"Landor v. LA DOC","23-1197",3.01,1.52,2.77,8.04,4.7,8.72,3.07,7.89,8.09
"M and K Employee Solutions v. Trustees of the IAM Pension Fund","23-1209",3.27,0.61,0.72,2.55,0.53,0.59,3.15,0.01,5.15
"Galette v. NJ Transit Corp.","24-1021",1.86,1.65,1.83,2.13,2.99,2.1,3.25,1.22,5.7
"Wolford v. Lopez","24-1046",4.67,1.56,3.59,9.56,6.1,5.15,4.44,6.53,13.59
"Rico v. United States","24-1056",1,0.5,4.81,3.03,2.04,3.59,0,0.02,4.33
"Hunter v. United States","24-1063",3.34,0.83,4.32,8.66,2.99,5.66,4.46,5.55,10.63
"Monsanto Co. v. Durnell","24-1068",2.63,1.14,0.35,2.76,1.67,2.09,2.4,0.8,6.11
"Louisiana v. Callais","24-109",4.4,3.31,13.56,18.29,18.12,7.93,11.25,6.82,23.79
"United States v. Hemani","24-1234",3.76,1.26,8.76,6.02,5.57,5.27,5.46,6.6,9.24
"Montgomery v. Caribe Transport II, LLC","24-1238",1.39,2.81,2.16,4.92,2.95,2.97,8.43,0.76,9.08
"Watson v. RNC","24-1260",1.81,1.82,5.71,11.21,5.63,9.13,4.22,9.89,12.98
"Learning Resource, Inc. v. Trump, President of U.S.","24-1287",4.94,1.95,9.75,9.46,6.75,9.84,11.31,10.55,11.12
"Cox Communications v. Sony Music Entertainment","24-171",1.85,1.87,3.32,6.57,4.81,5.67,4.7,4.28,6.14
"FS Credit Opportunities Corp. v. Saba Capital Master Fund","24-345",2.5,0.52,0,6.81,3.26,2.26,6.52,2.12,4.82
"USPS v. Konan","24-351",1.16,1.08,4.23,5.15,2.77,2.23,2.95,1.07,8.08
"Little v. Hecox","24-38",3.1,2.06,3.9,11.26,8.25,3.94,4.73,4.98,10.62
"West Virginia v. B.P.J.","24-43",2.72,1.29,0.63,3.92,2.08,5.98,5.96,1.93,5.9
"Berk v. Choy","24-440",0.86,0.57,1.28,2.11,6.09,5.09,1.48,2.01,5.54
"Ellingburg v. United States","24-482",1.72,1.01,3.49,1.27,2.53,2.7,1.7,0.34,4.49
"Chiles v. Salazar","24-539",1.57,1.71,5.22,5.51,6.28,4.77,0,3.18,7.78
"Bowe v. United States","24-5438",2.94,1.17,3.84,6,3.65,5.47,1.65,3.46,6.1
"Fernandez v. United States","24-556",1.39,0.84,4.08,8.15,5.09,1.34,4.06,2.13,7.44
"Villarreal v. Texas","24-557",3.68,1.68,5.17,6.72,5.5,4.6,1.69,2.21,5.58
"Bost v. IL Bd. Of Elections","24-568",3.89,0.96,4.2,6.56,7.25,4.47,7.1,0.89,9.84
"Barrett v. United States","24-5774",1.17,0.7,2.58,1.91,0.46,4.88,6.6,0,5.93
"NRSC v. FEC","24-621",3.8,1.68,5.24,11.6,9.23,0,4.44,0.68,7.61
"Case v. Montana","24-624",4.61,0.7,4.03,8.87,3.15,3.05,1.34,1.66,3.66
"Exxon Mobil Corp. v. Corporacion Cimex, S.A.","24-699",1.5,0.83,3.59,9.12,5.96,3.95,3.77,1.13,10.29
