"sitting","case_name","docket","ALITO","BARRETT","GORSUCH","JACKSON","KAGAN","KAVANAUGH","ROBERTS","SOTOMAYOR","THOMAS"
"November","Damon Landor, Petitioner, V. Louisiana Department Of Corrections And Public Safety, Et Al., Respondents","23-1197",441,1633,1632,1421,796,482,410,1162,227
"January","M & K Employee Solutions, Llc, Et Al., Petitioners, V. Trustees Of The Iam National Pension Fund, Respondent","23-1209",96,1,84,855,93,516,458,330,81
"January","Cedric Galette, Petitioner, V. New Jersey Transit Corporation, Respondent. New Jersey Transit Corporation, Et Al., Petitioners, V.  ) No. 24-1113 Jeffrey Colt, Et Al., Respondents","24-1021",287,250,365,1034,507,600,285,305,251
"January","Jason Wolford, Et Al., Petitioners, V. Anne E. Lopez, Attorney General Of Hawaii, Respondent","24-1046",562,1296,800,2311,943,769,711,1191,219
"November","Isabel Rico, Petitioner, V. United States, Respondent","24-1056",697,4,671,731,329,NA,144,432,69
"February","Munson P. Hunter, Iii, Petitioner, V. United States, Respondent","24-1063",647,1142,994,1836,584,847,570,1209,86
"April","Monsanto Company, Petitioner, V. John L. Durnell, Respondent","24-1068",70,159,358,912,251,427,395,357,141
"October","Louisiana, Appellant, V. Phillip Callais, Et Al., Appellees. Press Robinson, Et Al., Appellants, V.  ) No. 24 -110 Phillip Callais, Et Al., Appellees","24-109",1863,1282,1436,3888,2769,1756,532,2515,400
"October","Louisiana, Appellant, V. Phillip Callais, Et Al., Appellees. Press Robinson, Et Al., Appellants, V.  )  No. 24-110 Phillip Callais, Et Al., Appellees","24-109",1863,1282,1436,3888,2769,1756,532,2515,400
"February","United States, Petitioner, V. Ali Danial Hemani, Respondent","24-1234",1296,1273,968,1487,926,885,589,873,122
"February","Shawn Montgomery, Petitioner, V. Caribe Transport Ii, Llc, Et Al., Respondents","24-1238",314,167,563,1478,565,1585,155,758,331
"March","Michael Watson, Mississippi Secretary Of State, Petitioner, V. Republican National Committee, Et Al., Respondents","24-1260",842,1866,1690,2034,1021,686,219,1657,255
"November","Learning Resources, Inc., Et Al., Petitioners, V. Donald J. Trump, President Of The United States, Et Al., Respondents. Donald J. Trump, President Of The United States, Et Al., Petitioners, V.  )  No. 25-250 V.o.s.  Selections, Inc., Et Al., Respondents","24-1287",1473,2017,1737,1874,1122,1831,705,1293,223
"December","Cox Communications, Inc., Et Al., Petitioners, V. Sony Music Entertainment, Et Al., Respondents","24-171",434,774,1035,971,828,730,232,928,229
"December","Fs Credit Opportunities Corp., Et Al., Petitioners, V. Saba Capital Master Fund, Ltd., Et Al., Respondents","24-345",NA,428,405,798,575,1239,326,921,59
"October","United States Postal Service, Et Al., Petitioners, V. Lebene Konan, Respondent","24-351",597,219,372,1312,476,445,165,687,136
"January","Bradley Little, Governor Of Idaho, Et Al., Petitioners, V. Lindsay Hecox, Et Al., Respondents","24-38",549,951,624,1660,1360,722,426,1562,271
"January","West Virginia, Et Al., Petitioners, V. B.p.j., By Her Next Friend And Mother, Heather Jackson, Respondent","24-43",93,430,1099,931,358,1034,372,542,159
"October","Harold R. Berk, Petitioner, V. Wilson C. Choy, Et Al., Respondents","24-440",192,401,968,918,1056,265,121,298,81
"October","Holsey Ellingburg, Jr., Petitioner, V. United States, Respondent","24-482",484,63,504,741,398,284,214,202,133
"October","Kaley Chiles, Petitioner, V. Patty Salazar, In Her Official Capacity As Executive Director Of The Colorado Department Of Regulatory Agencies, Et Al., Respondents","24-539",759,647,764,1284,1002,NA,183,746,219
"October","Michael Bowe, Petitioner, V. United States, Respondent","24-5438",525,647,858,1002,646,287,367,917,136
"November","Joe Fernandez, Petitioner, V. United States Respondent","24-556",578,401,227,1203,825,718,209,1085,117
"October","David Asa Villarreal, Petitioner, V. Texas, Respondent","24-557",864,440,804,932,963,316,632,945,214
"October","Michael J. Bost, Et Al., Petitioners, V. Illinois State Board Of Elections, Et Al., Respondents","24-568",647,177,783,1684,1269,1243,654,923,140
"October","Dwayne Barrett, Petitioner, V. United States, Respondent","24-5774",387,NA,897,894,66,1119,137,252,73
"December","National Republican Senatorial Committee, Et Al., Petitioners, V. Federal Election Commission, Et Al., Respondents","24-621",743,129,NA,1259,1517,744,528,1486,227
"October","William Trevor Case, Petitioner, V. Montana, Respondent","24-624",682,319,592,637,563,215,774,1244,103
"February","Exxon Mobil Corporation, Petitioner, V. Corporación Cimex, S.a. (Cuba , Et Al., Respondents","24-699",574,227,704,1730,1064,708,113,1283,112
"November","The Hain Celestial Group, Inc., Et Al., Petitioners, V. Sarah Palmquist, Individually And As Next Friend Of E.p., A Minor, Et Al., Respondents","24-724",41,636,251,748,714,NA,39,336,46
"March","Terry Pitchford, Petitioner, V. Burl Cain, Commissioner, Mississippi Department Of Corrections, Et Al., Respondents","24-7351",1005,1181,564,1860,1140,1503,363,1620,471
