Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
FDA v. Wages and White Lion Investments,23-1038,Curtis E. Gannon,1332,253,1175,254,553,650,678,483,660
FDA v. Wages and White Lion Investments,23-1038,Eric N. Heyer,495,428,74,193,597,276,481,164,556
United States v. Skrmetti,23-477,Chase B. Strangio,768,352,691,432,0,0,571,386,140
United States v. Skrmetti,23-477,Elizabeth B. Prelogar,1478,411,1227,460,778,0,1747,964,692
United States v. Skrmetti,23-477,J. Matthew Rice,242,411,0,285,491,0,180,397,1080
United States v. Miller,23-824,Lisa S. Blatt,317,417,0,160,140,73,296,683,624
United States v. Miller,23-824,Yaira Dubin,1106,184,0,66,566,894,224,904,414
Feliciano v. Department of Transportation.,23-861,Andrew T. Tutt,1259,411,708,318,209,288,601,505,1011
Feliciano v. Department of Transportation.,23-861,Nicole F. Reaves,1009,349,0,409,264,699,368,418,119
Hungary v. Simon,23-867,Joshua S. Glasgow,410,168,290,315,280,168,0,430,127
Hungary v. Simon,23-867,Shay Dvoretzky,698,410,75,379,203,93,490,362,506
Hungary v. Simon,23-867,Sopan Joshi,239,185,186,138,414,322,785,438,266
Dewberry Group, Inc. v. Dewberry Engineers Inc.,23-900,Elbert Lin,350,470,270,560,86,408,0,281,528
Dewberry Group, Inc. v. Dewberry Engineers Inc.,23-900,Nicholas S. Crown,733,396,415,0,326,0,0,65,341
Dewberry Group, Inc. v. Dewberry Engineers Inc.,23-900,Thomas G. Hungar,1503,366,0,645,733,220,0,0,838
Kousisis v. United States,23-909,Eric J. Feigin,925,184,592,251,479,619,855,630,156
Kousisis v. United States,23-909,Jeffrey L. Fisher,1604,502,204,263,587,622,275,549,1431
Seven County Infrastructure Coalition v. Eagle County,23-975,Edwin S. Kneedler,997,169,84,281,558,0,664,301,244
Seven County Infrastructure Coalition v. Eagle County,23-975,Paul D. Clement,1172,533,171,583,969,0,621,676,774
Seven County Infrastructure Coalition v. Eagle County,23-975,William M. Jay,401,178,0,240,1238,0,268,0,2216
