Case,Attorney,Docket,total_words
FDA v. Wages and White Lion Investments,Curtis E. Gannon,23-1038,6038
FDA v. Wages and White Lion Investments,Eric N. Heyer,23-1038,3264
United States v. Skrmetti,Chase B. Strangio,23-477,3459
United States v. Skrmetti,Elizabeth B. Prelogar,23-477,7757
United States v. Skrmetti,J. Matthew Rice,23-477,3086
United States v. Miller,Lisa S. Blatt,23-824,2710
United States v. Miller,Yaira Dubin,23-824,4358
Feliciano v. Department of Transportation.,Andrew T. Tutt,23-861,5310
Feliciano v. Department of Transportation.,Nicole F. Reaves,23-861,3635
Hungary v. Simon,Joshua S. Glasgow,23-867,2188
Hungary v. Simon,Shay Dvoretzky,23-867,3216
Hungary v. Simon,Sopan Joshi,23-867,2973
Dewberry Group, Inc. v. Dewberry Engineers Inc.,Elbert Lin,23-900,2953
Dewberry Group, Inc. v. Dewberry Engineers Inc.,Nicholas S. Crown,23-900,2276
Dewberry Group, Inc. v. Dewberry Engineers Inc.,Thomas G. Hungar,23-900,4305
Kousisis v. United States,Eric J. Feigin,23-909,4739
Kousisis v. United States,Jeffrey L. Fisher,23-909,6037
Seven County Infrastructure Coalition v. Eagle County,Edwin S. Kneedler,23-975,3304
Seven County Infrastructure Coalition v. Eagle County,Paul D. Clement,23-975,5509
Seven County Infrastructure Coalition v. Eagle County,William M. Jay,23-975,4541
