Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Ames v. OH Dept. of Youth Services,23-1039,Ashley Robertson,292,253,557,0,0,53,0,419,384
Ames v. OH Dept. of Youth Services,23-1039,T. Elliot Gaiser,311,127,0,254,284,236,434,349,237
Ames v. OH Dept. of Youth Services,23-1039,Xiao Wang,844,95,0,64,189,366,119,153,334
Smith and Wesson v. Estados Unidos Mexicanos,23-1141,Catherine E. Stetson,1006,939,537,153,175,255,579,300,657
Smith and Wesson v. Estados Unidos Mexicanos,23-1141,Noel J. Francisco,1612,634,0,208,1027,602,0,307,599
CC/Devas v. Antrix Corp.,23-1201,Aaron M. Streett,171,412,0,328,0,0,0,0,408
CC/Devas v. Antrix Corp.,23-1201,Carter G. Phillips,440,0,0,121,239,343,0,0,884
CC/Devas v. Antrix Corp.,23-1201,Matthew D. McGill,523,645,0,155,0,0,0,0,122
CC/Devas v. Antrix Corp.,23-1201,Sarah M. Harris,109,571,267,0,0,165,0,0,0
BLOM Bank SAL v. Honickman,23-1259,Michael H. McGinley,933,645,0,228,390,507,42,137,1050
BLOM Bank SAL v. Honickman,23-1259,Michael J. Radine,345,159,202,329,158,207,335,180,555
NRC v. Texas,23-1300,Aaron L. Nielson,179,111,0,300,486,402,350,0,362
NRC v. Texas,23-1300,Brad Fagg,457,188,521,283,0,148,150,0,376
NRC v. Texas,23-1300,David C. Frederick,245,168,0,277,446,160,467,0,595
NRC v. Texas,23-1300,Malcolm L. Stewart,859,750,531,345,396,841,359,0,363
Perttu v. Richards,23-1324,Ann M. Sherman,676,278,139,730,353,594,0,57,778
Perttu v. Richards,23-1324,Lori Alvino McGill,603,96,548,206,182,59,220,525,46
Esteras v. United States,23-7483,Christian J. Grostic,841,258,584,438,307,493,306,271,477
Esteras v. United States,23-7483,Masha G. Hansford,888,264,0,280,558,210,371,465,635
Gutierrez v. Saenz,23-7809,Anne E. Fisher,903,494,917,343,45,375,714,266,358
Gutierrez v. Saenz,23-7809,William F. Cole,314,209,86,530,528,193,361,338,553
