"Case","Docket","Attorney","Time Speaking"
"Ames v. OH Dept. of Youth Services","23-1039","Ashley Robertson",10.64
"Ames v. OH Dept. of Youth Services","23-1039","T. Elliot Gaiser",11.66
"Ames v. OH Dept. of Youth Services","23-1039","Xiao Wang",11.63
"Smith and Wesson v. Estados Unidos Mexicanos","23-1141","Catherine E. Stetson",27.5
"Smith and Wesson v. Estados Unidos Mexicanos","23-1141","Noel J. Francisco",27.82
"CC/Devas v. Antrix Corp.","23-1201","Aaron M. Streett",8.49
"CC/Devas v. Antrix Corp.","23-1201","Carter G. Phillips",12.64
"CC/Devas v. Antrix Corp.","23-1201","Matthew D. McGill",10.89
"CC/Devas v. Antrix Corp.","23-1201","Sarah M. Harris",6.16
"BLOM Bank SAL v. Honickman","23-1259","Michael H. McGinley",18.49
"BLOM Bank SAL v. Honickman","23-1259","Michael J. Radine",14.16
"NRC v. Texas","23-1300","Aaron L. Nielson",10.96
"NRC v. Texas","23-1300","Brad Fagg",11.92
"NRC v. Texas","23-1300","David C. Frederick",14.41
"NRC v. Texas","23-1300","Malcolm L. Stewart",25.76
"Perttu v. Richards","23-1324","Ann M. Sherman",22.57
"Perttu v. Richards","23-1324","Lori Alvino McGill",15.36
"Esteras v. United States","23-7483","Christian J. Grostic",22.04
"Esteras v. United States","23-7483","Masha G. Hansford",19.16
"Gutierrez v. Saenz","23-7809","Anne E. Fisher",25.6
"Gutierrez v. Saenz","23-7809","William F. Cole",14.57
