Case,Attorney,Docket,total_words
Ames v. OH Dept. of Youth Services,Ashley Robertson,23-1039,1958
Ames v. OH Dept. of Youth Services,T. Elliot Gaiser,23-1039,2232
Ames v. OH Dept. of Youth Services,Xiao Wang,23-1039,2234
Smith and Wesson v. Estados Unidos Mexicanos,Catherine E. Stetson,23-1141,4601
Smith and Wesson v. Estados Unidos Mexicanos,Noel J. Francisco,23-1141,4997
CC/Devas v. Antrix Corp.,Aaron M. Streett,23-1201,1319
CC/Devas v. Antrix Corp.,Carter G. Phillips,23-1201,2319
CC/Devas v. Antrix Corp.,Matthew D. McGill,23-1201,1445
CC/Devas v. Antrix Corp.,Sarah M. Harris,23-1201,1112
BLOM Bank SAL v. Honickman,Michael H. McGinley,23-1259,3932
BLOM Bank SAL v. Honickman,Michael J. Radine,23-1259,2470
NRC v. Texas,Aaron L. Nielson,23-1300,2194
NRC v. Texas,Brad Fagg,23-1300,2123
NRC v. Texas,David C. Frederick,23-1300,2358
NRC v. Texas,Malcolm L. Stewart,23-1300,4444
Perttu v. Richards,Ann M. Sherman,23-1324,3605
Perttu v. Richards,Lori Alvino McGill,23-1324,2485
Esteras v. United States,Christian J. Grostic,23-7483,3975
Esteras v. United States,Masha G. Hansford,23-7483,3671
Gutierrez v. Saenz,Anne E. Fisher,23-7809,4415
Gutierrez v. Saenz,William F. Cole,23-7809,3112
