Case,Attorney,Docket,total_words
Hewitt v. United States,Masha G. Hansford,23-1002,2639
Hewitt v. United States,Michael B. Kimberly,23-1002,2913
Hewitt v. United States,Michael H. McGinley,23-1002,3455
Cunningham v. Cornell University,Nicole A. Saharsky,23-1007,4622
Cunningham v. Cornell University,Xiao Wang,23-1007,3326
Cunningham v. Cornell University,Yaira Dubin,23-1007,3109
Thompson v. United States.,Caroline A. Flynn,23-1095,2770
Thompson v. United States.,Chris C. Gair,23-1095,3363
Free Speech Coalition v. Paxton,Aaron L. Nielson,23-1122,2803
Free Speech Coalition v. Paxton,Brian H. Fletcher,23-1122,4462
Free Speech Coalition v. Paxton,Derek L. Shaffer,23-1122,5584
FDA v. R.J. Reynolds Vapor Co.,Ryan J. Watson,23-1187,3550
FDA v. R.J. Reynolds Vapor Co.,Vivek Suri,23-1187,4267
McLaughlin Chiropractic v. McKesson Corp,Joseph R. Palmore,23-1226,2965
McLaughlin Chiropractic v. McKesson Corp,Matthew Guarnieri,23-1226,2067
McLaughlin Chiropractic v. McKesson Corp,Matthew W.H. Wessler,23-1226,3760
Barnes v. Felix,Charles L. McCloud,23-1239,2473
Barnes v. Felix,Lanora C. Pettit,23-1239,1065
Barnes v. Felix,Nathaniel A.G. Zelinsky,23-1239,2821
Barnes v. Felix,Zoe A. Jacoby,23-1239,2654
Waetzig v. Halliburton Energy Services,Matthew D. McGill,23-971,2368
Waetzig v. Halliburton Energy Services,Vincent Levy,23-971,2715
Stanley v. City of Sanford,Deepak Gupta,23-997,3411
Stanley v. City of Sanford,Frederick Liu,23-997,1757
Stanley v. City of Sanford,Jessica C. Conner,23-997,3103
TikTok, Inc. v. Garland,Elizabeth B. Prelogar,24-656,6143
TikTok, Inc. v. Garland,Jeffrey L. Fisher,24-656,4278
TikTok, Inc. v. Garland,Noel J. Francisco,24-656,6729
