"case_name","docket","ROBERTS","THOMAS","ALITO","SOTOMAYOR","KAGAN","GORSUCH","KAVANAUGH","BARRETT","JACKSON"
"Hewitt v. United States","23-1002",1.67,0.67,5.64,8.05,4.62,4.26,7.79,1.32,7.64
"Cunningham v. Cornell University","23-1007",1.62,0.43,7.23,7.66,3.16,3.36,6.13,0.15,6.7
"Thompson v. United States.","23-1095",3.47,0.61,4.9,5.88,5.81,6.05,1.82,3.68,7.56
"Free Speech Coalition v. Paxton","23-1122",3.17,2.5,9.49,9.84,5.32,5.12,8.17,5.75,11.95
"FDA v. R.J. Reynolds Vapor Co.","23-1187",2.07,0.81,1.14,5.43,4.6,2.23,2.67,2.79,8.3
"McLaughlin Chiropractic v. McKesson Corp","23-1226",0.98,1.58,2.2,5.24,4.52,5.98,0.47,0.06,4.94
"Barnes v. Felix","23-1239",2.07,1.72,4.16,5.82,3.19,2.68,3.57,1.96,6.36
"Waetzig v. Halliburton Energy Services","23-971",2.5,0.28,0,3.86,1.85,4.01,0,0,4.17
"Stanley v. City of Sanford","23-997",1.42,0.76,8.9,6.2,4.37,0,1.36,0,5.99
"TikTok, Inc. v. Garland","24-656",5.65,1.47,10.13,11.51,8.32,7.62,3.35,5.87,6.62
