case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Hewitt v. United States,23-1002,208,103,849,1123,781,743,1296,283,1288
Cunningham v. Cornell University,23-1007,218,56,1116,1037,548,554,1015,32,1076
Thompson v. United States.,23-1095,605,88,769,774,988,1039,322,737,1229
Free Speech Coalition v. Paxton,23-1122,409,308,1355,1389,953,926,1242,1121,2020
FDA v. R.J. Reynolds Vapor Co.,23-1187,298,108,165,757,802,391,381,535,1381
McLaughlin Chiropractic v. McKesson Corp,23-1226,98,214,310,745,775,1125,86,5,814
Barnes v. Felix,23-1239,270,227,600,952,544,465,692,382,1107
Stanley v. City of Sanford,23-997,196,100,1392,918,712,0,218,0,969
TikTok, Inc. v. Garland,24-656,921,196,1580,1539,1437,1339,500,1149,1046
Waetzig v. Halliburton Energy Services,23-971,371,43,0,510,356,723,0,0,729
