Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Oklahoma v. EPA,23-1067,Malcolm L. Stewart,559,67,0,0,0,36,227,0,804
Oklahoma v. EPA,23-1067,Misha Tseytlin,246,431,0,0,301,21,235,0,433
Oklahoma v. EPA,23-1067,Mithun Mansinghani,837,59,0,264,252,559,82,0,252
EPA v. Calumet Shreveport Refining,23-1229,Malcolm L. Stewart,679,237,526,378,412,1179,177,323,511
EPA v. Calumet Shreveport Refining,23-1229,Michael R. Huston,314,344,191,357,442,380,727,152,412
EPA v. Calumet Shreveport Refining,23-1229,Seth P. Waxman,560,486,0,281,0,114,323,66,646
Riley v. Bondi,23-1270,Ephraim McDowell,175,323,520,191,236,410,118,0,243
Riley v. Bondi,23-1270,Keith Bradley,813,348,92,183,0,185,0,0,112
Riley v. Bondi,23-1270,Stephen J. Hammer,614,133,0,207,818,531,0,253,548
Medina v. Planned Parenthood South Atlantic,23-1275,John J. Bursch,894,231,0,407,283,307,645,531,839
Medina v. Planned Parenthood South Atlantic,23-1275,Kyle D. Hawkins,285,80,0,287,216,0,397,81,322
Medina v. Planned Parenthood South Atlantic,23-1275,Nicole A. Saharsky,1404,572,764,561,80,508,1091,499,89
Rivers v. Guerrero,23-1345,Aaron L. Nielson,548,65,0,0,0,122,553,0,312
Rivers v. Guerrero,23-1345,Matthew Guarnieri,246,0,0,171,0,0,0,595,0
Rivers v. Guerrero,23-1345,Peter A. Bruland,1223,533,502,616,0,314,301,0,1135
Lousiana v. Callais,24-109,Edward D. Greim,314,50,7,241,589,201,489,0,527
Lousiana v. Callais,24-109,J. Benjamin Aguinaga,866,486,218,305,0,0,448,335,252
Lousiana v. Callais,24-109,Stuart C. Naifeh,572,399,467,76,213,501,92,238,150
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Colin T. Roth,444,338,286,153,483,868,603,594,217
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Curtis E. Gannon,320,543,0,0,511,220,549,79,220
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Eric C. Rassbach,749,141,381,409,349,210,483,736,546
Fuld v. PLO,24-20,Edwin S. Kneedler,1166,459,481,339,298,372,287,241,328
Fuld v. PLO,24-20,Kent A. Yalowitz,218,190,156,287,528,444,54,283,419
Fuld v. PLO,24-20,Mitchell R. Berger,351,271,387,287,502,388,0,865,728
FCC v. Consumers' Research,24-354,Paul D. Clement,201,472,209,802,635,1192,434,516,590
FCC v. Consumers' Research,24-354,R. Trent McCotter,397,259,808,374,807,285,1219,540,622
FCC v. Consumers' Research,24-354,Sarah M. Harris,1496,1026,895,314,153,1219,814,796,685
