Case,Docket,Attorney,Time Speaking,Total Words
Oklahoma v. EPA,23-1067,Malcolm L. Stewart,10.15,1737
Oklahoma v. EPA,23-1067,Misha Tseytlin,10.05,1859
Oklahoma v. EPA,23-1067,Mithun Mansinghani,13.24,2394
EPA v. Calumet Shreveport Refining,23-1229,Malcolm L. Stewart,26.06,4565
EPA v. Calumet Shreveport Refining,23-1229,Michael R. Huston,18.77,3425
EPA v. Calumet Shreveport Refining,23-1229,Seth P. Waxman,18.33,2555
Riley v. Bondi,23-1270,Ephraim McDowell,11.56,2280
Riley v. Bondi,23-1270,Keith Bradley,10.51,1777
Riley v. Bondi,23-1270,Stephen J. Hammer,13.69,3190
Medina v. Planned Parenthood South Atlantic,23-1275,John J. Bursch,19.95,4306
Medina v. Planned Parenthood South Atlantic,23-1275,Kyle D. Hawkins,8.55,1750
Medina v. Planned Parenthood South Atlantic,23-1275,Nicole A. Saharsky,25.4,5761
Rivers v. Guerrero,23-1345,Aaron L. Nielson,8.27,1665
Rivers v. Guerrero,23-1345,Matthew Guarnieri,5.91,1029
Rivers v. Guerrero,23-1345,Peter A. Bruland,24.11,4802
Lousiana v. Callais,24-109,Edward D. Greim,13.83,2502
Lousiana v. Callais,24-109,J. Benjamin Aguinaga,14.04,3008
Lousiana v. Callais,24-109,Stuart C. Naifeh,15.43,2761
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Colin T. Roth,21.16,4179
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Curtis E. Gannon,13.05,2504
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Eric C. Rassbach,22.07,4190
Fuld v. PLO,24-20,Edwin S. Kneedler,25.02,4083
Fuld v. PLO,24-20,Kent A. Yalowitz,19.25,2680
Fuld v. PLO,24-20,Mitchell R. Berger,22.32,3937
FCC v. Consumers' Research,24-354,Paul D. Clement,25.41,5427
FCC v. Consumers' Research,24-354,R. Trent McCotter,25.63,5518
FCC v. Consumers' Research,24-354,Sarah M. Harris,37.04,7609
