Case,Attorney,Docket,total_words
Oklahoma v. EPA,Malcolm L. Stewart,23-1067,1698
Oklahoma v. EPA,Misha Tseytlin,23-1067,1802
Oklahoma v. EPA,Mithun Mansinghani,23-1067,2305
EPA v. Calumet Shreveport Refining,Malcolm L. Stewart,23-1229,4422
EPA v. Calumet Shreveport Refining,Michael R. Huston,23-1229,3319
EPA v. Calumet Shreveport Refining,Seth P. Waxman,23-1229,2476
Riley v. Bondi,Ephraim McDowell,23-1270,2216
Riley v. Bondi,Keith Bradley,23-1270,1738
Riley v. Bondi,Stephen J. Hammer,23-1270,3104
Medina v. Planned Parenthood South Atlantic,John J. Bursch,23-1275,4137
Medina v. Planned Parenthood South Atlantic,Kyle D. Hawkins,23-1275,1668
Medina v. Planned Parenthood South Atlantic,Nicole A. Saharsky,23-1275,5568
Rivers v. Guerrero,Aaron L. Nielson,23-1345,1600
Rivers v. Guerrero,Matthew Guarnieri,23-1345,1012
Rivers v. Guerrero,Peter A. Bruland,23-1345,4624
Lousiana v. Callais,Edward D. Greim,24-109,2418
Lousiana v. Callais,J. Benjamin Aguinaga,24-109,2910
Lousiana v. Callais,Stuart C. Naifeh,24-109,2708
Catholic Charities Bureau v. WI Labor and Industry Review,Colin T. Roth,24-154,3986
Catholic Charities Bureau v. WI Labor and Industry Review,Curtis E. Gannon,24-154,2442
Catholic Charities Bureau v. WI Labor and Industry Review,Eric C. Rassbach,24-154,4004
Fuld v. PLO,Edwin S. Kneedler,24-20,3971
Fuld v. PLO,Kent A. Yalowitz,24-20,2579
Fuld v. PLO,Mitchell R. Berger,24-20,3779
FCC v. Consumers' Research,Paul D. Clement,24-354,5218
FCC v. Consumers' Research,R. Trent McCotter,24-354,5311
FCC v. Consumers' Research,Sarah M. Harris,24-354,7398
