Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Allyson N. Ho,1343,301,0,230,334,10,555,608,585
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Tejinder Singh,1034,725,240,356,362,550,427,116,424
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Vivek Suri,643,92,0,0,330,97,85,163,0
E.M.D. Sales, Inc v. Carrera,23-217,Aimee W. Brown,439,105,387,73,82,0,0,0,723
E.M.D. Sales, Inc v. Carrera,23-217,Lauren E. Bateman,560,207,186,0,320,0,0,0,315
E.M.D. Sales, Inc v. Carrera,23-217,Lisa S. Blatt,775,173,0,467,275,0,400,0,221
Advocate Christ Medical Center v. Becerra,23-715,Ephraim McDowell,353,61,0,222,250,348,970,113,661
Advocate Christ Medical Center v. Becerra,23-715,Melissa Arbus Sherry,1262,104,276,755,533,186,917,458,519
Delligatti v. United States.,23-825,Allon Kedem,1334,202,63,219,590,410,0,629,327
Delligatti v. United States.,23-825,Eric J. Feigin,790,249,0,5,471,634,214,0,778
Velazquez v. Garland,23-929,Anthony A. Yang,432,408,0,97,878,540,355,219,792
Velazquez v. Garland,23-929,Gerard J. Cedrone,1339,211,621,385,112,113,0,511,60
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Colleen E. Roh Sinzdak,335,71,153,179,0,0,382,130,0
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Deepak Gupta,957,274,684,131,312,491,496,0,170
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Neal Kumar Katyal,1783,185,446,480,602,438,339,97,646
Facebook v. Amalgamated Bank,23-980,Kannon K. Shanmugam,1367,566,389,455,749,589,347,430,621
Facebook v. Amalgamated Bank,23-980,Kevin J. Barber,361,117,139,241,294,462,336,381,139
Facebook v. Amalgamated Bank,23-980,Kevin K. Russell,641,525,394,190,49,304,381,76,107
