"Case","Docket","Attorney","Time Speaking"
"Nancy Williams, Et Al. v. Fitzgerald Washington, Alabama Secretary Of Labor","23-191","Adam G. Unikowsky",22.72
"Nancy Williams, Et Al. v. Fitzgerald Washington, Alabama Secretary Of Labor","23-191","Edmund G. LaCour, Jr.",16.32
"Medical Marijuana, Inc., Et Al. v. Douglas J. Horn","23-365","Easha Anand",20.48
"Medical Marijuana, Inc., Et Al. v. Douglas J. Horn","23-365","Lisa S. Blatt",19.18
"Amina Bouarfa v. Alejandro Mayorkas, Secretary Of Homeland Security, Et Al.","23-583","Colleen E. Roh Sinzdak",9.91
"Amina Bouarfa v. Alejandro Mayorkas, Secretary Of Homeland Security, Et Al.","23-583","Samir Deger-Sen",20.96
"Gerald F. Lackey, In His Official Capacity As The Commissioner Of The Virginia  Department Of Motor Vehicles v. Damian Stinnie, Et Al.","23-621","Anthony A. Yang",11.13
"Gerald F. Lackey, In His Official Capacity As The Commissioner Of The Virginia  Department Of Motor Vehicles v. Damian Stinnie, Et Al.","23-621","Brian D. Schmalzbach",15.79
"Gerald F. Lackey, In His Official Capacity As The Commissioner Of The Virginia  Department Of Motor Vehicles v. Damian Stinnie, Et Al.","23-621","Erika L. Maley",15.29
"Royal Canin U.s.a., Inc., Et Al. v. Anastasia Wullschleger, Et Al.","23-677","Ashley C. Keller",9.88
"Royal Canin U.s.a., Inc., Et Al. v. Anastasia Wullschleger, Et Al.","23-677","Katherine B. Wellington",25.46
"Joshua E. Bufkin, Et Al. v. Denis R. Mcdonough, Secretary Of Veterans Affairs","23-713","Melanie L. Bostwick",22.91
"Joshua E. Bufkin, Et Al. v. Denis R. Mcdonough, Secretary Of Veterans Affairs","23-713","Sopan Joshi",17.1
"City And County Of San Francisco, California v. Environmental Protection Agency","23-753","Frederick Liu",25.91
"City And County Of San Francisco, California v. Environmental Protection Agency","23-753","Tara M. Steeley",22.46
"Merrick B. Garland, Attorney General, Et Al. v. Jennifer Vanderstok, Et Al.","23-852","Elizabeth B. Prelogar",33.6
"Merrick B. Garland, Attorney General, Et Al. v. Jennifer Vanderstok, Et Al.","23-852","Peter A. Patterson",15.5
