Case,Docket,Attorney,Time Speaking,Total Words
Glossip v. Oklahoma,22-7466,Christopher G. Michel,16.45,3502
Glossip v. Oklahoma,22-7466,Paul D. Clement,20.6,3898
Glossip v. Oklahoma,22-7466,Seth P. Waxman,21.99,2997
Williams v. Washington,23-191,Adam G. Unikowsky,22.72,5388
Williams v. Washington,23-191,Edmund G. LaCour,16.32,3241
Medical Marijuana Inc. v. Horn,23-365,Easha Anand,20.48,4247
Medical Marijuana Inc. v. Horn,23-365,Lisa S. Blatt,19.18,4046
Bouarafa v. Mayorkas,23-583,Colleen E. Roh Sinzdak,9.91,1792
Bouarafa v. Mayorkas,23-583,Samir Deger-Sen,20.96,4687
Lackey v. Stinnie,23-621,Anthony A. Yang,11.13,2187
Lackey v. Stinnie,23-621,Brian D. Schmalzbach,15.79,3163
Lackey v. Stinnie,23-621,Erika L. Maley,15.29,2292
Royal Canin v. Wullschleger,23-677,Ashley C. Keller,9.88,1980
Royal Canin v. Wullschleger,23-677,Katherine B. Wellington,25.46,4775
Bufkin v. McDonough,23-713,Melanie L. Bostwick,22.91,4342
Bufkin v. McDonough,23-713,Sopan Joshi,17.1,3376
San Francisco v. EPA,23-753,Frederick Liu,25.91,4430
San Francisco v. EPA,23-753,Tara M. Steeley,22.46,3860
Garland v. Vanderstok,23-852,Elizabeth B. Prelogar,33.6,7059
Garland v. Vanderstok,23-852,Peter A. Patterson,15.5,3006
