attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,OT24_Cases
Aaron L. Nielson,3,Male,1,6,Harvard Law School,,Samuel Alito,Office of the Solicitor General of Texas,0,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas; Aaron L. Nielson, Solicitor General, Austin, Tex.; Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division; Nuclear Regulatory Commission, et al. v. Texas, et al."
Aaron M. Streett,1,Male,1,4,University of Texas School of Law,,William Rehnquist,Baker Botts LLP,0,"Devas Multimedia Private Limited v. Antrix Corp. Ltd., et al."
Adam G. Unikowsky,1,Male,1,12,Harvard Law School,,Antonin Scalia,Jenner & Block LLP,0,"Nancy Williams, et al. v. Fitzgerald Washington, Alabama Secretary of Labor"
Aimee W. Brown,2,Female,1,5,The University of Chicago Law School,,Samuel Alito,"Office of the Solicitor General, U.S. DOJ",1,"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al. (for United States, as amicus curiae); Donte Parrish v. United States (for respondent in support of petitioner)"
Alan E. Schoenfeld,1,Male,0,1,Yale Law School,,Sonia Sotomayor* (On the 2nd circuit),Wilmer Cutler Pickering Hale and Dorr LLP,0,"Tamer Mahmoud, et al. v. Thomas W. Taylor, et al."
Allon Kedem,1,Male,1,14,Yale Law School,,Anthony Kennedy; Elena Kagan,Arnold & Porter Kaye Scholer LLP,1,Salvatore Delligatti v. United States
Allyson N. Ho,1,Female,1,6,University of Chicago Law School,,Sandra Day O'Connor,"Gibson, Dunn & Crutcher LLP",0,"Wisconsin Bell, Inc. cv. United States, ex rel. Heath"
Amanda Rice,1,Female,0,1,Harvard Law School,,Elena Kagan,Jones Day,0,Donte Parrish v. United States
Andrew T. Tutt,1,Male,1,4,Yale Law School,,,Arnold & Porter Kaye Scholer LLP,1,Nick Feliciano v. Department of Transportation
Ann M. Sherman,1,Female,0,1,Michigan State University College of Law (can't verify),,,University of Virginia Law School,0,Thomas Perttu v. Kyle Brandon Richards
Anne E. Fisher,1,Female,0,1,The John Marshall Law School (can't verify),,,Federal Community Defender Office,0,"Ruben Gutierrez v. Luis Saenz, et al."
Anthony A. Yang,2,Male,1,40,Yale Law School,,,"Office of the Solicitor General, U.S. DOJ",1,"Gerald F. Lackey... v. Damian Stinnie, et al. (for United States, as amicus curiae); Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General"
Ashley C. Keller,1,Male,1,2,University of Chicago Law School,,,Keller Postman LLC,0,"Royal Canin U. S. A., Inc., et al. v. Anastasia Wullschleger, et al."
Ashley Robertson,1,Female,0,,,,,,0,
Brad Fagg,1,Male,0,1,Columbia Law School,,,Morgan Lewis & Bockius LLP,1,"Interim Storage Partners, LLC v. Texas, et al."
