attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,oyez_link,OT24_Cases
Aaron L. Nielson,3,,1,6,Harvard Law School,,Samuel Alito,Office of the Solicitor General of Texas,,,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas; Aaron L. Nielson, Solicitor General, Austin, Tex.; Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division; Nuclear Regulatory Commission, et al. v. Texas, et al."
Aaron M. Streett,1,,1,4,University of Texas School of Law,,William Rehnquist,Baker Botts LLP,,,"Devas Multimedia Private Limited v. Antrix Corp. Ltd., et al."
Adam G. Unikowsky,1,,1,12,Harvard Law School,,Antonin Scalia,Jenner & Block LLP,,,"Nancy Williams, et al. v. Fitzgerald Washington, Alabama Secretary of Labor"
Aimee W. Brown,2,,1,5,The University of Chicago Law School,,Samuel Alito,"Office of the Solicitor General, U.S. DOJ",,,"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al. (for United States, as amicus curiae); Donte Parrish v. United States (for respondent in support of petitioner)"
Alan E. Schoenfeld,1,,0,1,Yale Law School,,Sonia Sotomayor* (On the 2nd circuit),Wilmer Cutler Pickering Hale and Dorr LLP,,,"Tamer Mahmoud, et al. v. Thomas W. Taylor, et al."
Allon Kedem,1,,1,14,Yale Law School,,Anthony Kennedy; Elena Kagan,Arnold & Porter Kaye Scholer LLP,,,Salvatore Delligatti v. United States
Allyson N. Ho,1,,1,6,University of Chicago Law School,,Sandra Day O'Connor,"Gibson, Dunn & Crutcher LLP",,,"Wisconsin Bell, Inc. cv. United States, ex rel. Heath"
Amanda Rice,1,,0,1,Harvard Law School,,Elena Kagan,Jones Day,,,Donte Parrish v. United States
Andrew T. Tutt,1,,1,4,Yale Law School,,,Arnold & Porter Kaye Scholer LLP,,,Nick Feliciano v. Department of Transportation
Ann M. Sherman,1,,0,1,Michigan State University College of Law (can't verify),,,University of Virginia Law School,,,Thomas Perttu v. Kyle Brandon Richards
Anne E. Fisher,1,,0,1,The John Marshall Law School (can't verify),,,Federal Community Defender Office,,,"Ruben Gutierrez v. Luis Saenz, et al."
Anthony A. Yang,2,,1,40,Yale Law School,,,"Office of the Solicitor General, U.S. DOJ",,,"Gerald F. Lackey... v. Damian Stinnie, et al. (for United States, as amicus curiae); Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General"
Ashley C. Keller,1,,1,2,University of Chicago Law School,,,Keller Postman LLC,,,"Royal Canin U. S. A., Inc., et al. v. Anastasia Wullschleger, et al."
Ashley Robertson,1,,0,,,,,,,,
Brad Fagg,1,,0,1,Columbia Law School,,,Morgan Lewis & Bockius LLP,,,"Interim Storage Partners, LLC v. Texas, et al."
Brian D. Schmalzbach,1,,0,1,University of Virginia School of Law,,Clarence Thomas,McGuireWoods LLP,,,"Gerald F. Lackey... v. Damian Stinnie, et al."
Brian H. Fletcher,1,,1,24,Harvard Law School,,Ruth Bader Ginsburg,"Office of the Solicitor General, U.S. DOJ",,,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas (for United States, as amicus curiae)"
Caroline A. Flynn,2,,1,5,University of Michigan Law School,,Neil Gorsuch (can't confirm),Earthjustice,,,Patrick D. Thompson v. United States; Simon A. Soto... v. United States
Carter G. Phillips,1,,1,90,Northwestern University Pritzker School of Law,,Warren E. Burger,Sidley Austin LLP,,,"CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al."
Catherine E. Stetson,1,,1,4,University of Virginia School of Law,,,Hogan Lovells US LLP,,,"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos"
Charles L. McCloud,1,,1,3,Harvard Law School,,Sonia Sotomayor,Williams & Connolly LLP,,,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al."
Chase B. Strangio,1,,0,1,Northwestern University Pritzker School of Law,,,American Civil Liberties Union,,,United States v. Skrimetti
Chris C. Gair,1,,0,1,University of Chicago Law School,,,Gair Gallo Eberhard LLP,,,Patrick D. Thompson v. United States
Christian J. Grostic,1,,0,1,University of Michigan Law School,,Neil Gorsuch (can't verify),Federal Public Defender's Office,,,Edgardo Esteras v. United States
Christopher E. Mills,1,,0,1,Harvard Law School,,Clarence Thomas,Spero Law LLC,,,"Curtrina Martin, Individually and as Parent and Next Friend of G. W., a Minor, et al. v. United States, et al. (for Court-appointed amicus curiae in support of judgment below on Question 1)"
Christopher G. Michel,1,,1,11,Yale Law School,,Brett Kavanaugh (while on D.C Circuit); John Roberts,"Quinn Emanuel Urquhart & Sullivan, LLP",,,Richard Eugene Glossip v. Oklahoma (for Court-appointed amicus curiae in support of judgment below)
Colin T. Roth,1,,0,1,New York University School of Law,,,Wisconsin Department of Justice,,,"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al."
