case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Robert F. Kennedy, Jr., Secretary of Health and Human Services, et al. v. Braidwood Management, Inc., et al.",4/21/2025,24-316,Hashim M. Mooppan,Jonathan F. Mitchell,,CA5,4,21
Donte Parrish v. United States,4/21/2025,24-275,Amanda Rice,Aimee Brown,Michael R. Huston,CA4,0,4
"Tamer Mahmoud, et al. v. Thomas W. Taylor, et al.",4/22/2025,24-297,Eric S. Baxter; Sarah M. Harris,Alan E. Schoenfeld,,CA4,11,60
Commissioner of Internal Revenue v. Jennifer Zuch,4/22/2025,24-416,Erica L. Ross,Shay Dvoretzky,,CA3,0,3
"Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al.",4/23/2025,24-7,Jeffrey B. Wall,Edwin S. Kneedler; Joshua A. Klein,,CADC,13,15
"A. J. T., By and Through Her Parents, A. T. & G. T. v. Osseo Area Schools, Independent School District No. 279, et al.",4/28/2025,24-249,Roman Martinez; Nicole F. Reaves,Lisa S. Blatt,,CA8,1,3
"Simon A. Soto, Individually and on Behalf of All Others Similarly Situated v. United States",4/28/2025,24-320,Tacy F. Flint,Caroline A. Flynn,,CAFED,1,5
"Curtrina Martin, Individually and as Parent and Next Friend of G. W., a Minor, et al. v. United States, et al.",4/29/2025,24-362,Patrick M. Jaicomo,Frederick Liu,Christopher E. Mills,CA11,2,9
"Laboratory Corporation of America Holdings, dba Labcorp v. Luke Davis, et al.",4/29/2025,24-304,Noel J. Francisco,Deepak Gupta,Sopan Joshi,CA9,1,19
"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma",4/30/2025,24-394,James A. Campbell,Gregory G. Garre,D. John Sauer,OK Sup. Ct.,12,48
"St. Isidore of Seville Catholic Virtual School v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma",4/30/2025,24-396 (vided above),Michael H. McGinley,Gregory G. Garre,D. John Sauer,OK Sup. Ct.,10,
