case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
Tony R. Hewitt v. United States; and No. 23-1150. Corey Deyon Duffey and Jarvis Dupree Ross v. United States.,,23-1002,Michael Kimberly,Masha Hansford,Michael McGinley,CA5,2,4
"Karyn D. Stanley v. City of Sanford, Florida.",,23-997,Deepak Gupta,Jessica C. Conner, Frederick Liu,CA11,2,11
Patrick D. Thompson v. United States.,,23-1095,Chris C. Gair,Caroline A. Flynn,,CA7,0,2
"Gary Waetzig v. Halliburton Energy Services, Inc.",,23-971,Vincent Levy,Matthew McGill,,CA10,0,1
"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas.",,23-1122,Derek L. Shaffer,Aaron L. Nielson,Brian H. Fletcher,CA5,4,41
"Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al.",,23-1187,Vivek Suri,Ryan J. Wilson,,CA5,0,8
"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al.",,23-1226,Matthew W.H. Wessler,Joseph Palmore, Matthew Guarnieri,CA9,0,3
"Janice Hughes Barnes, Individually and as Representative of the Estate of Ashtian Barnes, Deceased v. Roberto Felix, Jr., et al.",,23-1239,Nathaniel A.G. Zelinsky,Charles McCLoud and Lanora C. Pettit,Zoe A. Jacoby,CA5,7,25
"Casey Cunningham, et al. v. Cornell University, et al.",,23-1007,Xiao Wang,Nicole A. Saharsky,Yaira Dubin,CA2,0,11
"TikTok, Inc. v. Garland",,24-656,Noel J. Francisco,Elizabeth B. Prelogar,,CADC,4,22
