case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Louisiana v. Phillip Callais, et al.",3/24/2025,24-109,J. Benjamin Aguiñaga,Edward D. Greim,,WDLA,2,18
"Press Robinson, et al. v. Phillip Callais, et al.",3/24/2025,24-110,Stuart C. Naifeh,Edward D. Greim,,WDLA,,
"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General.",3/24/2025,23-1270,Keith Bradley,Ephraim McDowell,Stephen J. Hammer,CA4,1,9
"Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.",3/25/2025,23-1229,Malcolm L. Stewart,Seth P. Waxman; Michael R. Huston,,CA5,0,5
"Oklahoma, et al. v. Environmental Protection Agency, et al.",3/25/2025,23-1067,Mithun Mansinghani,Malcolm L. Stewart,,CA10,,
"PacifCorp, et al. v. Environmental Protection Agency, et al.",3/25/2025,23-1068,Misha Tseytlin,Malcolm L. Stewart,,CA10,,
"Federal Communications Commission, et al. v. Consumers' Research, et al.",3/26/2025,24-354,Sarah M. Harris,R. Trent McCotter,,CA5,2,48
"Schools, Health & Libraries Broadband Coalition, et al. v. Consumers' Research, et al.",3/26/2025,24-422,Paul D. Clement,R. Trent McCotter,,CA5,,
"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al.",3/31/2025,24-154,Eric C. Rassbach,Colin T. Roth,Curtis E. Gannon,SCWI,8,29
"Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division.",3/31/2025,23-1345,Peter A. Bruland,Aaron L. Nielson,Matthew Guarnieri,CA5,3,9
"Miriam Fuld, et al. v. Palestine Liberation Organization, et al.",4/1/2025,24-20,Kent A. Yalowitz,Mitchell R. Berger,,CA2,4,12
"United States v. Palestine Liberation Organization, et al.",4/1/2025,24-151,Edwin S. Kneedler,Mitchell R. Berger,,CA2,,
"Eunice Medina, Director, South Carolina Department of Health and Human Services v. Planned Parenthood South Atlantic, et al.",4/2/2025,23-1275,John J. Bursch,Nicole A. Saharsky,Kyle D. Hawkins,CA4,9,33
