docket,sitting,case,lower_court,consolidated_case_1,consolidated_docket_1,consolidated_lower_court_1,consolidated_split,short_hand,major_case,issue
25-429,April,"Blanche, Acting Atty Gen. v. Lau",CA2,,,,,Lau,,Immigration
25-112,April,Chatrie v. United States,CA4,,,,,Chatrie,,Fourth Amendment
24-856,April,"Cisco Systems, Inc. v. DOE I",CA9,,,,,Cisco,,Human Rights Litigation
25-406,April,FCC v. AT\&T,CA5,Verizon vs. FCC,25-567,CA2,Affirm,AT\&T,,Administrative Law
24-889,April,"Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.",CAFED,,,,,Hikma,,Patent Law
24-1068,April,Monsanto Co. v. Durnell,CAMOE,,,,,Monsanto,,Federal Preemption
25-1083,April,"Mullin, Sec. of Homeland Security v. Doe",CA2,"Trump, President of United States v. MIOT",25-1084,CADC,Reverse,Mullin v. Doe,,Immigration
25-466,April,Sripetch v. SEC,CA9,,,,,Sripetch,,Securities Law
25-197,April,T. M. v. Univ. of MD Medical Sys. Corp.,CA4,,,,,UMD Medical,,Federal Jurisdiction
24-171,December,Cox Communications v. Sony Music Entertainment,CA4,,,,,Cox,,Copyright
24-781,December,First Choice Women's Resource Centers v. Davenport,CA3,,,,,First Choice,,Freedom of Association
24-345,December,FS Credit Opportunities Corp. v. Saba Capital Master Fund,CA2,,,,,FS Credit,,Securities Law
24-872,December,Hamm v. Smith,CA11,,,,,Hamm,,Death Penalty
24-621,December,NRSC v. FEC,CA6,,,,,NRSC,,Campaign Finance
24-993,December,Olivier v. City of Brandon,CA5,,,,,Olivier,,Civil Rights
25-332,December,"Trump, President of United States v. Slaughter",CADC,"Trump, President of United States v. Slaughter",25A264,CADC,,Slaughter,,Presidential Power
24-777,December,"Urias-Orellana v. Bondi, Att'y Gen.",CA1,,,,,Urias-Orellana,,Immigration
24-783,February,"Enbridge Energy, LP v. Nessel",CA6,,,,,Enbridge,,Federal Jurisdiction
24-699,February,"Exxon Mobil Corp. v. Corporacion Cimex, S.A.",CADC,,,,,Exxon,,Foreign Sovereign Immunity
24-983,February,Havana Docks Corp. v. Royal Caribbean  Cruises,CA11,,,,,Havana Docks,,Foreign Affairs
24-1063,February,Hunter v. United States,CA5,,,,,Hunter,,Criminal Procedure
24-1238,February,"Montgomery v. Caribe Transport II, LLC",CA7,,,,,Montgomery,,Federal Preemption
25-95,February,Pung v. Isabella County,CA6,,,,,Pung,,Property Rights
24-1234,February,United States v. Hemani,CA5,,,,,Hemani,,Criminal Law
