Case,Date_Argued,Date_Decided,Lower_Court,Decision,Author,Coalition,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON,Docket,Notes
Pitts v. Mississippi,,11/24/2025,SCMS,Reverse,Per Curiam,(9-0),1,1,1,1,1,1,1,1,1,24-1159,
Clark v. Sweeney,,11/24/2025,CA4,Reverse and Remand,Per Curiam,(9-0),1,1,1,1,1,1,1,1,1,25-52,
"Doe v. Dynamic Physical Therapy, LLC",,12/8/2025,CALA,GRR,Per Curiam,(9-0),1,1,1,1,1,1,1,1,1,25-180,
Bowe v. United States,10/14/2025,1/9/2026,CA11,Vacate and Remand,Sotomayor,(5-4),1,-2,-2,100,1,-1,1,-2,2,24-5438,Barrett joined Gorsuch Dissent in Part 1
Bost v.  Illinois Board of Elections,10/8/2025,1/14/2026,CA7,Reverse and Remand,Roberts,(7-2),100,1,1,-2,6,1,1,5,-1,24-568,
Case v. Montana,10/15/2025,1/14/2026,SCMT,Affirm,Kagan,(9-0),1,1,1,2,100,2,1,1,1,24-624,
Barrett v. United States,10/7/2025,1/14/2026,CA2,Reverse and Remand,Jackson,(9-0),1,1,1,1,1,7,1,1,100,25-5774,Split Opinion by Parts; Reverse in Part
"Coney Island Auto Parts Unlimited, Inc. v. Burton",11/4/2025,1/20/2026,CA6,Affirm,Alito,(9-0),1,1,100,5,1,1,1,1,1,24-808,
Ellingburg v. United States,10/14/2025,1/20/2026,CA8,Reverse and Remand,Kavanaugh,(9-0),1,2,1,1,1,3,100,1,1,24-482,
Berk v. Choy,10/6/2025,1/20/2026,CA3,Reverse and Remand,Barrett,(9-0),1,1,1,1,1,1,1,100,5,24-440,
Klein v. Martin,,1/26/2026,CA4,GRR,Per Curiam,(8-1),1,1,1,1,1,1,1,1,-998,25-51,Jackson Would Not Grant Cert
"Learning Resources, Inc. v. Trump",11/5/2025,2/20/2026,CADC,Vacate and Remand,Roberts,(6-3),100,-1,-2,3,7,2,-1,2,7,24-1287,"Highly fractured, multiple parts -- but core is 6-3"
Postal Service v. Konan,10/8/2025,2/24/2026,CA5,Vacate and Remand,Thomas,(5-4),1,100,1,-1,-2,-2,1,1,-2,24-351,
"Hain Celestial Group, Inc. v. Palmquist",11/4/2025,2/24/2026,CA5,Affirm and Remand,Sotomayor,(9-0),1,2,1,100,1,1,1,1,1,24-724,
"Geo Group, Inc. v. Menocal",11/10/2025,2/25/2026,CA10,Affirm and Remand,Kagan,(9-0),1,7,5,1,100,1,1,1,1,24-758,
Villareal v. Texas,10/6/2025,2/25/2026,TXCRIM,Affirm,Jackson,(9-0),1,5,2,1,1,6,1,1,100,24-557,
Mirabelli v. Bonta,,3/2/2026,CA9,Grant,Per Curiam,Per Curiam,1,998,998,-998,1,1,1,1,1,25A810,Grant only applies to parents; Thomas & Alito would GRANT in full; Sotomayor would DENY in full
Galette v. New Jersey Transit Corp. ,1/14/2026,3/4/2026,SCPA,Affirm and Remand,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,24-1021,
Urias-Orellana v. Bondi,12/1/2025,3/4/2026,CA1,Affirm,Jackson,(9-0),1,1,1,1,1,1,1,1,100,24-777,
Olivier v. City of Brandon,12/3/2025,3/20/2026,CA5,Affirm,Kagan,(9-0),1,1,1,1,100,1,1,1,1,24-993,
Zorn v. Linton,,3/23/2026,CA2,Reverse,Per Curiam,(6-3),1,1,1,-1,-2,1,1,1,-2,25-297,
"Cox Communications, Inc. v. Sony Music Entertainment",12/1/2025,3/25/2026,CA4,Reverse and Remand,Thomas,(9-0),1,100,1,5,1,1,1,1,6,24-171,
Rico v. United States,11/3/2025,3/25/2026,CA9,Reverse and Remand,Gorsuch,(8-1),1,1,-1,1,1,100,1,1,1,24-1056,
Chiles v. Salazar,10/7/2025,3/31/2026,CA10,Reverse and Remand,Gorsuch,(8-1),1,1,1,3,2,100,1,1,-1,24-539,
Chevron USA Inc. v. Plaquemines Parish,1/12/2026,4/17/2026,CA5,Vacate and Remand,Thomas,(8-0),1,100,1,1,1,1,1,1,5,24-813,
District of Columbia v. R.W.,,4/20/2026,DDC,Reverse and Remand,Per Curiam,(7-2),1,1,1,-998,1,1,1,1,-1,25-248,Sotomayor would deny petition for certiorari
Hencely v. Fluor Corp.,11/3/2025,4/22/2026,CA4,Vacate and Remand,Thomas,(6-3),-2,100,-1,1,1,1,-2,1,1,24-924,
"Enbridge Energy, LP v. Nessel",2/26/2026,4/22/2026,CA6,Affirm,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,24-783,
