Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON,Notes
Bowe v. United States,24-5438,Sotomayor,M,JD,JD,M*,M,D,M,JD,RC,Barrett joined Gorsuch Dissent in Part 1
Bost v. IL Bd. Of Elections,24-568,Roberts,M*,M,M,JD,JCJ,M,M,CJ,D,
Case v. Montana,24-624,Kagan,M,M,M,RC,M*,RC,M,M,M,
Barrett v. United States,25-5774,Jackson,M,M,M,M,M,SC,M,M,M*,Split Opinion by Parts; Reverse in Part
Coney Island Auto Parts Inc. v. Burton,24-808,Alito,M,M,M*,CJ,M,M,M,M,M,
Ellingburg v. United States,24-482,Kavanaugh,M,RC,M,M,M,JRC,M*,M,M,
Berk v. Choy,24-440,Barrett,M,M,M,M,M,M,M,M*,CJ,
Pitts v. Mississippi,24-1159,Per Curiam,M,M,M,M,M,M,M,M,M,
Clark v. Sweeney,25-52,Per Curiam,M,M,M,M,M,M,M,M,M,
Doe v. Dynamic Physical Therapy LLC,25-180,Per Curiam,M,M,M,M,M,M,M,M,M,
