Case,Docket,Attorney,Time Speaking
Cox Communications v. Sony Music Entertainment,24-171,E. Joshua Rosenkranz,24.47
Cox Communications v. Sony Music Entertainment,24-171,Malcolm L. Stewart,13.67
Cox Communications v. Sony Music Entertainment,24-171,Paul D. Clement,23.3
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Max E. Schulman,8.1
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Paul D. Clement,23.36
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Shay Dvoretzky,18.6
NRSC v. FEC,24-621,Marc E. Elias,19.35
NRSC v. FEC,24-621,Noel J. Francisco,27.34
NRSC v. FEC,24-621,Roman Martinez,19.71
NRSC v. FEC,24-621,Sarah M. Harris,19.97
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Joshua Dos Santos,13.5
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Nicholas Rosellini,23.73
First Choice Women's Resource Centers v. Platkin,24-781,Erin M. Hawley,16.81
First Choice Women's Resource Centers v. Platkin,24-781,Sundeep Iyer,26.85
First Choice Women's Resource Centers v. Platkin,24-781,Vivek Suri,6.67
Hamm v. Smith,24-872,Harry Graver,14.81
Hamm v. Smith,24-872,Robert M. Overing,19.16
Hamm v. Smith,24-872,Seth P. Waxman,23.73
Olivier v. City of Brandon,24-993,Allyson N. Ho,24.86
Olivier v. City of Brandon,24-993,Ashley Robertson,10.65
Olivier v. City of Brandon,24-993,G. Todd Butler,15.97
Trump, President of United States v. Slaughter,25-332,Amit Agarwal,44.54
Trump, President of United States v. Slaughter,25-332,D. John Sauer,27.79
