Case,Docket,Attorney,Time Speaking,Total Words
Cox Communications v. Sony Music Entertainment,24-171,E. Joshua Rosenkranz,24.47,3476
Cox Communications v. Sony Music Entertainment,24-171,Malcolm L. Stewart,13.67,2219
Cox Communications v. Sony Music Entertainment,24-171,Paul D. Clement,23.3,4547
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Max E. Schulman,8.1,1714
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Paul D. Clement,23.36,4730
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Shay Dvoretzky,18.6,3470
NRSC v. FEC,24-621,Marc E. Elias,19.35,3139
NRSC v. FEC,24-621,Noel J. Francisco,27.34,4985
NRSC v. FEC,24-621,Roman Martinez,19.71,4090
NRSC v. FEC,24-621,Sarah M. Harris,19.97,3625
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Joshua Dos Santos,13.5,2596
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Nicholas Rosellini,23.73,4998
First Choice Women's Resource Centers v. Platkin,24-781,Erin M. Hawley,16.81,2860
First Choice Women's Resource Centers v. Platkin,24-781,Sundeep Iyer,26.85,4700
First Choice Women's Resource Centers v. Platkin,24-781,Vivek Suri,6.67,1138
Hamm v. Smith,24-872,Harry Graver,14.81,3290
Hamm v. Smith,24-872,Robert M. Overing,19.16,3231
Hamm v. Smith,24-872,Seth P. Waxman,23.73,3260
Olivier v. City of Brandon,24-993,Allyson N. Ho,24.86,3631
Olivier v. City of Brandon,24-993,Ashley Robertson,10.65,1863
Olivier v. City of Brandon,24-993,G. Todd Butler,15.97,2643
Trump, President of United States v. Slaughter,25-332,Amit Agarwal,44.54,8223
Trump, President of United States v. Slaughter,25-332,D. John Sauer,27.79,5485
