Case,Attorney,Docket,total_words
Cox Communications v. Sony Music Entertainment,E. Joshua Rosenkranz,24-171,3476
Cox Communications v. Sony Music Entertainment,Malcolm L. Stewart,24-171,2219
Cox Communications v. Sony Music Entertainment,Paul D. Clement,24-171,4547
FS Credit Opportunities Corp. v. Saba Capital Master Fund,Max E. Schulman,24-345,1714
FS Credit Opportunities Corp. v. Saba Capital Master Fund,Paul D. Clement,24-345,4730
FS Credit Opportunities Corp. v. Saba Capital Master Fund,Shay Dvoretzky,24-345,3470
NRSC v. FEC,Marc E. Elias,24-621,3139
NRSC v. FEC,Noel J. Francisco,24-621,4985
NRSC v. FEC,Roman Martinez,24-621,4090
NRSC v. FEC,Sarah M. Harris,24-621,3625
Urias-Orellana v. Bondi, Att'y Gen.,Joshua Dos Santos,24-777,2596
Urias-Orellana v. Bondi, Att'y Gen.,Nicholas Rosellini,24-777,4998
First Choice Women's Resource Centers v. Platkin,Erin M. Hawley,24-781,2860
First Choice Women's Resource Centers v. Platkin,Sundeep Iyer,24-781,4700
First Choice Women's Resource Centers v. Platkin,Vivek Suri,24-781,1138
Hamm v. Smith,Harry Graver,24-872,3290
Hamm v. Smith,Robert M. Overing,24-872,3231
Hamm v. Smith,Seth P. Waxman,24-872,3260
Olivier v. City of Brandon,Allyson N. Ho,24-993,3631
Olivier v. City of Brandon,Ashley Robertson,24-993,1863
Olivier v. City of Brandon,G. Todd Butler,24-993,2643
Trump, President of United States v. Slaughter,Amit Agarwal,25-332,8223
Trump, President of United States v. Slaughter,D. John Sauer,25-332,5485
