Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
M and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,John E. Roberts,406,299,511,294,61,0,703,0,194
M and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,Kevin J. Barber,146,119,175,0,0,0,407,0,0
M and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,Michael E. Kenneally,1716,147,0,160,375,96,660,0,914
Galette v. NJ Transit Corp.,24-1021,Michael B. Kimberly,746,107,224,0,974,276,1120,0,133
Galette v. NJ Transit Corp.,24-1021,Michael Zuckerman,1183,525,752,328,257,155,351,967,1068
Wolford v. Lopez,24-1046,Alan A. Beck,452,65,6,529,245,105,0,219,369
Wolford v. Lopez,24-1046,Neal Kumar Katyal,828,409,315,543,685,375,662,331,269
Wolford v. Lopez,24-1046,Sarah M. Harris,171,124,568,320,673,609,225,557,759
Little v. Hecox,24-38,Alan M. Hurst,742,186,96,741,821,297,216,273,514
Little v. Hecox,24-38,Hashim M. Mooppan,158,440,35,460,442,170,122,150,748
Little v. Hecox,24-38,Kathleen R. Hartnett,1209,194,743,471,698,1135,644,607,181
West Virginia v. B.P.J.,24-43,Hashim M. Mooppan,209,117,0,152,154,637,524,138,184
West Virginia v. B.P.J.,24-43,Joshua A. Block,633,165,404,271,928,472,489,254,369
West Virginia v. B.P.J.,24-43,Michael R. Williams,918,234,0,367,63,533,733,160,923
Chevron USA Inc. v. Plaquemines Parish,24-813,Aaron Z. Roper,479,323,0,30,521,408,350,0,340
Chevron USA Inc. v. Plaquemines Parish,24-813,J. Benjamin Aguinaga,282,650,0,208,420,232,220,585,1307
Chevron USA Inc. v. Plaquemines Parish,24-813,Paul D. Clement,1364,264,0,643,598,0,663,748,770
Trump, President of U.S. v. Cook,25A312,D. John Sauer,1811,197,119,558,554,558,650,900,590
Trump, President of U.S. v. Cook,25A312,Paul D. Clement,889,745,611,374,839,918,787,669,969
