Case,Docket,Attorney,Time Speaking,Total Words
Galette v. NJ Transit Corp.,24-1021,Michael B. Kimberly,20.83,3580
Galette v. NJ Transit Corp.,24-1021,Michael Zuckerman,26.29,5586
Wolford v. Lopez,24-1046,Alan A. Beck,12.67,1994
Wolford v. Lopez,24-1046,Neal Kumar Katyal,23.8,4424
Wolford v. Lopez,24-1046,Sarah M. Harris,19.4,4006
Little v. Hecox,24-38,Alan M. Hurst,20.12,3886
Little v. Hecox,24-38,Hashim M. Mooppan,13.54,2725
Little v. Hecox,24-38,Kathleen R. Hartnett,25.83,5901
West Virginia v. B.P.J.,24-43,Hashim M. Mooppan,9.99,2115
West Virginia v. B.P.J.,24-43,Joshua A. Block,22.07,3985
West Virginia v. B.P.J.,24-43,Michael R. Williams,19.42,3931
Chevron USA Inc. v. Plaquemines Parish,24-813,Aaron Z. Roper,11.86,2451
Chevron USA Inc. v. Plaquemines Parish,24-813,J. Benjamin Aguinaga,19.1,3904
Chevron USA Inc. v. Plaquemines Parish,24-813,Paul D. Clement,26.18,5050
