Case,Attorney,Docket,total_words
Watson v. RNC,D. John Sauer,24-1260,1293
Watson v. RNC,Paul D. Clement,24-1260,6403
Watson v. RNC,Scott G. Stewart,24-1260,5797
Pitchford v. Cain,Emily M. Ferguson,24-7351,1320
Pitchford v. Cain,Joseph J. Perkovich,24-7351,4298
Pitchford v. Cain,Scott G. Stewart,24-7351,3275
Flowers Foods, Inc. v. Brock,Jennifer D. Bennett,24-935,4256
Flowers Foods, Inc. v. Brock,Traci L. Lovitt,24-935,3392
Trump v. Barbara,Cecillia D. Wang,25-365,4861
Trump v. Barbara,D. John Sauer,25-365,7578
Mullin, Sec. of Homeland v. Al Otro Lado,Kelsi B. Corkran,25-5,4147
Mullin, Sec. of Homeland v. Al Otro Lado,Vivek Suri,25-5,3302
Abouammo v. United States,Anthony A. Yang,25-5146,4173
Abouammo v. United States,Tobias S. Loss-Eaton,25-5146,4674
Keathley v. Buddy Ayers Construction, Inc.,Frederick Liu,25-6,1437
Keathley v. Buddy Ayers Construction, Inc.,Gregory G. Garre,25-6,3476
Keathley v. Buddy Ayers Construction, Inc.,William M. Jay,25-6,2803
Jules v. Andre Balazs Properties,Adam G. Unikowsky,25-83,4468
Jules v. Andre Balazs Properties,Daniel L. Geyser,25-83,2763
