Case,Docket,Attorney,Time Speaking
Landor v. LA DOC,23-1197,J. Benjamin Aguinaga,15
Landor v. LA DOC,23-1197,Libby A. Baird,18.43
Landor v. LA DOC,23-1197,Zachary D. Tripp,29.54
Rico v. United States,24-1056,Adam G. Unikowsky,19.19
Rico v. United States,24-1056,Joshua K. Handell,16.03
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,Benjamin Gutman,9.72
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,D. John Sauer,41.18
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,Neal Kumar Katyal,32.43
Fernandez v. United States,24-556,Benjamin Gruenstein,21.15
Fernandez v. United States,24-556,Eric J. Feigin,25.83
Hain Celestial Group v. Palmquist,24-724,Russell S. Post,10.65
Hain Celestial Group v. Palmquist,24-724,Sarah E. Harrington,15.36
GEO Group, Inc. v. Menocal,24-758,Dominic E. Draye,19.84
GEO Group, Inc. v. Menocal,24-758,Jennifer D. Bennett,16.5
GEO Group, Inc. v. Menocal,24-758,Sopan Joshi,7.1
Coney Island Auto Parts, Inc. v. Burton,24-808,Daniel Ginzburg,11.58
Coney Island Auto Parts, Inc. v. Burton,24-808,Lisa S. Blatt,11.42
Rutherford v. United States,24-820,David A. O'Neil,12.69
Rutherford v. United States,24-820,David C. Frederick,20.51
Rutherford v. United States,24-820,Eric J. Feigin,20.63
Hencely v. Flour Corp,24-924,Curtis E. Gannon,13.88
Hencely v. Flour Corp,24-924,Frank H. Chang,15.93
Hencely v. Flour Corp,24-924,Mark W. Mosier,18.13
