Case,Attorney,Docket,total_words
Landor v. LA DOC,J. Benjamin Aguinaga,23-1197,2976
Landor v. LA DOC,Libby A. Baird,23-1197,3858
Landor v. LA DOC,Zachary D. Tripp,23-1197,6059
Rico v. United States,Adam G. Unikowsky,24-1056,3517
Rico v. United States,Joshua K. Handell,24-1056,2811
Learning Resource, Inc. v. Trump, President of U.S.,Benjamin Gutman,24-1287,1752
Learning Resource, Inc. v. Trump, President of U.S.,D. John Sauer,24-1287,8811
Learning Resource, Inc. v. Trump, President of U.S.,Neal Kumar Katyal,24-1287,5883
Fernandez v. United States,Benjamin Gruenstein,24-556,3505
Fernandez v. United States,Eric J. Feigin,24-556,4176
Hain Celestial Group v. Palmquist,Russell S. Post,24-724,1869
Hain Celestial Group v. Palmquist,Sarah E. Harrington,24-724,3352
GEO Group, Inc. v. Menocal,Dominic E. Draye,24-758,3491
GEO Group, Inc. v. Menocal,Jennifer D. Bennett,24-758,2885
GEO Group, Inc. v. Menocal,Sopan Joshi,24-758,1232
Coney Island Auto Parts, Inc. v. Burton,Daniel Ginzburg,24-808,1997
Coney Island Auto Parts, Inc. v. Burton,Lisa S. Blatt,24-808,2152
Rutherford v. United States,David A. O'Neil,24-820,1984
Rutherford v. United States,David C. Frederick,24-820,3202
Rutherford v. United States,Eric J. Feigin,24-820,3417
Hencely v. Flour Corp,Curtis E. Gannon,24-924,2549
Hencely v. Flour Corp,Frank H. Chang,24-924,2714
Hencely v. Flour Corp,Mark W. Mosier,24-924,3109
