Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Louisiana v. Callais,24-109,Edward D. Greim,314,50,7,241,589,201,489,0,527
Louisiana v. Callais,24-109,J. Benjamin Aguinaga,866,486,218,305,0,0,448,335,252
Louisiana v. Callais,24-109,Stuart C. Naifeh,572,399,467,76,213,501,92,238,150
USPS v. Konan,24-351,Easha Anand,344,449,533,0,0,152,701,659,205
USPS v. Konan,24-351,Frederick Liu,1177,199,151,511,231,411,491,0,580
Berk v. Choy,24-440,Andrew T. Tutt,1212,172,497,135,130,360,200,466,371
Berk v. Choy,24-440,Frederick R. Yarger,327,132,0,88,909,379,357,0,611
Ellingburg v. United States,24-482,Amy M. Saharia,855,239,374,37,174,0,255,0,270
Ellingburg v. United States,24-482,Ashley Robertson,194,382,319,0,6,0,611,146,221
Ellingburg v. United States,24-482,John F. Bash,436,546,196,199,677,981,84,0,629
Chiles v. Salazar,24-539,Hashim M. Mooppan,307,162,27,142,324,352,0,418,553
Chiles v. Salazar,24-539,James A. Campbell,797,154,0,578,401,4,0,157,656
Chiles v. Salazar,24-539,Shannon W. Stevenson,506,546,713,275,394,316,0,957,151
Bowe v. United States,24-5438,Andrew L. Adler,1205,295,446,461,149,475,238,649,356
Bowe v. United States,24-5438,Anthony A. Yang,693,165,786,551,718,35,468,41,617
Bowe v. United States,24-5438,Kasdin M. Mitchell,245,257,0,58,0,197,780,0,306
Villarreal v. Texas,24-557,Andrew N. Warthen,461,114,283,163,326,705,238,1,115
Villarreal v. Texas,24-557,Kevin J. Barber,481,91,0,108,0,0,386,225,254
Villarreal v. Texas,24-557,Stuart Banner,755,408,553,259,473,357,297,304,495
Bost v. IL Bd. Of Elections,24-568,Jane E. Notz,554,112,782,0,271,342,843,0,465
Bost v. IL Bd. Of Elections,24-568,Michael Talent,441,135,15,227,185,0,379,0,162
Bost v. IL Bd. Of Elections,24-568,Paul D. Clement,1001,459,255,652,617,495,860,674,963
Barrett v. United States,24-5774,Aimee W. Brown,195,106,0,0,254,336,714,0,293
Barrett v. United States,24-5774,Charles L. McCloud,304,159,96,0,0,96,303,0,1004
Barrett v. United States,24-5774,Matthew B. Larsen,674,240,637,587,0,419,649,0,164
Case v. Montana,24-624,Christian B. Corrigan,499,122,0,520,352,247,0,141,669
Case v. Montana,24-624,Fred A. Rowley,1622,201,773,307,333,435,386,19,242
Case v. Montana,24-624,Zoe A. Jacoby,183,122,0,329,0,245,0,0,312
