Case,Docket,Attorney,Time Speaking
Louisiana v. Callais,24-109,Edward D. Greim,13.83
Louisiana v. Callais,24-109,J. Benjamin Aguinaga,14.04
Louisiana v. Callais,24-109,Stuart C. Naifeh,15.43
USPS v. Konan,24-351,Easha Anand,16.21
USPS v. Konan,24-351,Frederick Liu,21.95
Berk v. Choy,24-440,Andrew T. Tutt,21.78
Berk v. Choy,24-440,Frederick R. Yarger,16.8
Ellingburg v. United States,24-482,Amy M. Saharia,14.93
Ellingburg v. United States,24-482,Ashley Robertson,11.4
Ellingburg v. United States,24-482,John F. Bash,18.66
Chiles v. Salazar,24-539,Hashim M. Mooppan,11.93
Chiles v. Salazar,24-539,James A. Campbell,16.26
Chiles v. Salazar,24-539,Shannon W. Stevenson,20.5
Bowe v. United States,24-5438,Andrew L. Adler,22.76
Bowe v. United States,24-5438,Anthony A. Yang,22.4
Bowe v. United States,24-5438,Kasdin M. Mitchell,11.45
Villarreal v. Texas,24-557,Andrew N. Warthen,11.22
Villarreal v. Texas,24-557,Kevin J. Barber,7.95
Villarreal v. Texas,24-557,Stuart Banner,21.19
Bost v. IL Bd. Of Elections,24-568,Jane E. Notz,19.84
Bost v. IL Bd. Of Elections,24-568,Michael Talent,8.51
Bost v. IL Bd. Of Elections,24-568,Paul D. Clement,30.18
Barrett v. United States,24-5774,Aimee W. Brown,9.31
Barrett v. United States,24-5774,Charles L. McCloud,10.83
Barrett v. United States,24-5774,Matthew B. Larsen,17.49
Case v. Montana,24-624,Christian B. Corrigan,13.63
Case v. Montana,24-624,Fred A. Rowley,24.71
Case v. Montana,24-624,Zoe A. Jacoby,5.59
