case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Louisiana v. Callais,24-109,4.4,3.31,13.56,18.29,18.12,7.93,11.25,6.82,23.79
USPS v. Konan,24-351,1.16,1.08,4.23,5.15,2.77,2.23,2.95,1.07,8.08
Berk v. Choy,24-440,0.86,0.57,1.28,2.11,6.09,5.09,1.48,2.01,5.54
Ellingburg v. United States,24-482,1.72,1.01,3.49,1.27,2.53,2.7,1.7,0.34,4.49
Chiles v. Salazar,24-539,1.57,1.71,5.22,5.51,6.28,4.77,0,3.18,7.78
Bowe v. United States,24-5438,2.94,1.17,3.84,6,3.65,5.47,1.65,3.46,6.1
Villarreal v. Texas,24-557,3.68,1.68,5.17,6.72,5.5,4.6,1.69,2.21,5.58
Bost v. IL Bd. Of Elections,24-568,3.89,0.96,4.2,6.56,7.25,4.47,7.1,0.89,9.84
Barrett v. United States,24-5774,1.17,0.7,2.58,1.91,0.46,4.88,6.6,0,5.93
Case v. Montana,24-624,4.61,0.7,4.03,8.87,3.15,3.05,1.34,1.66,3.66
