case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Louisiana v. Callais,24-109,532,400,1863,2515,2769,1436,1756,1282,3888
USPS v. Konan,24-351,165,136,597,687,476,372,445,219,1312
Berk v. Choy,24-440,121,81,192,298,1056,968,265,401,918
Ellingburg v. United States,24-482,214,133,484,202,398,504,284,63,741
Chiles v. Salazar,24-539,183,219,759,746,1002,764,0,647,1284
Bowe v. United States,24-5438,367,136,525,917,646,858,287,647,1002
Villarreal v. Texas,24-557,632,214,864,945,963,804,316,440,932
Bost v. IL Bd. Of Elections,24-568,654,140,647,923,1269,783,1243,177,1684
Barrett v. United States,24-5774,137,73,387,252,66,897,1119,0,894
Case v. Montana,24-624,774,103,682,1244,563,592,215,319,637
