Docket,Case,Lower Court,Petitioner,Respondent,Arguing Amicus,Cert Amicus Briefs,Merits Amicus Briefs
23–1002,Tony R. Hewitt v. United States; and No. 23–1150. Corey Deyon Duffey and Jarvis Dupree Ross v. United States.,C. A. 5th Circuit.,Michael Kimberly,Masha Hansford,Michael McGinley,2,4
23–997,"Karyn D. Stanley v. City of Sanford, Florida.",C. A. 11th Circuit.,Deepak Gupta,Jessica C. Conner, Frederick Liu,2,11
23–1095,Patrick D. Thompson v. United States.,C. A. 7th Circuit.,Chris C. Gair,Caroline A. Flynn,,0,2
23–971,"Gary Waetzig v. Halliburton Energy Services, Inc.",C. A. 10th Circuit.,Vincent Levy,Matthew McGill,,0,1
23–1122,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas.",C. A. 5th Circuit.,Derek L. Shaffer,Aaron L. Nielson,Brian H. Fletcher,4,41
23–1187,"Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al.",C. A. 5th Circuit.,Vivek Suri,Ryan J. Wilson,,0,8
23–1226,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al.",C. A. 9th Circuit.,Matthew W.H. Wessler,Joseph Palmore, Matthew Guarnieri,0,3
23–1239,"Janice Hughes Barnes, Individually and as Representative of the Estate of Ashtian Barnes, Deceased v. Roberto Felix, Jr., et al.",C. A. 5th Circuit.,Nathaniel A.G. Zelinsky,Charles McCLoud and Lanora C. Pettit,Zoe A. Jacoby,7,25
23–1007,"Casey Cunningham, et al. v. Cornell University, et al.",C. A. 2nd Circuit.,Xiao Wang,Nicole A. Saharsky,Yaira Dubin,0,11
24-656,"TikTok, Inc. v. Garland",C.A. D.C.,Noel J. Francisco,Elizabeth B. Prelogar,,4,22
