Docket,Case,Lower Ct,Petitioner,Respondent,Amicus,Cert Amici,Merits Amici
24-109,"Louisiana v. Phillip Callais, et al.",WDLA,J. Benjamin Aguiñaga,Edward D. Greim,,2,18
24-110,"Press Robinson, et al. v. Phillip Callais, et al.",WDLA,Stuart C. Naifeh,Edward D. Greim,,,
23-1270,"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General.",CA4,Keith Bradley,Ephraim McDowell,Stephen J. Hammer,1,9
23-1229,"Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.",CA5,Malcolm L. Stewart,Seth P. Waxman; Michael R. Huston,,0,5
23-1067,"Oklahoma, et al. v. Environmental Protection Agency, et al.",CA10,Mithun Mansinghani,Malcolm L. Stewart,,,
23-1068,"PacifCorp, et al. v. Environmental Protection Agency, et al.",CA10,Misha Tseytlin,Malcolm L. Stewart,,,
24-354,"Federal Communications Commission, et al. v. Consumers' Research, et al.",CA5,Sarah M. Harris,R. Trent McCotter,,2,48
24-422,"Schools, Health & Libraries Broadband Coalition, et al. v. Consumers' Research, et al.",CA5,Paul D. Clement,R. Trent McCotter,,,
24-154,"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al.",SCWI,Eric C. Rassbach,Colin T. Roth,Curtis E. Gannon,8,29
23-1345,"Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division.",CA5,Peter A. Bruland,Aaron L. Nielson,Matthew Guarnieri,3,9
24-20,"Miriam Fuld, et al. v. Palestine Liberation Organization, et al.",CA2,Kent A. Yalowitz,Mitchell R. Berger,,4,12
24-151,"United States v. Palestine Liberation Organization, et al.",CA2,Edwin S. Kneedler,Mitchell R. Berger,,,
23-1275,"Eunice Medina, Director, South Carolina Department of Health and Human Services v. Planned Parenthood South Atlantic, et al.",CA4,John J. Bursch,Nicole A. Saharsky,Kyle D. Hawkins,9,33
