term,sitting,docket,run
2024,October,23-191,0
2024,October,23-677,0
2024,October,23-852,0
2024,October,23-621,0
2024,October,22-7466,0
2024,October,23-365,0
2024,October,23-583,0
2024,October,23-713,0
2024,October,23-753,0
2024,November,23-1127,0
2024,November,23-715,0
2024,November,23-217,0
2024,November,23-980,0
2024,November,23-929,0
2024,November,23-825,0
2024,November,23-970,0
2024,December,23-1038,0
2024,December,23-824,0
2024,December,23-867,0
2024,December,23-477,0
2024,December,23-909,0
2024,December,23-861,0
2024,December,23-975,0
2024,December,23-900,0
2024,January,24-656,0
2024,January,23-1002,0
2024,January,23-997,0
2024,January,23-1095,0
2024,January,23-971,0
2024,January,23-1122,0
2024,January,23-1187,0
2024,January,23-1226,0
2024,January,23-1239,0
2024,January,23-1007,0
2024,February,23-7809,0
2024,February,23-7483,0
2024,February,23-1324,0
2024,February,23-1039,0
2024,February,23-1201,0
2024,February,23-1259,0
2024,February,23-1141,1
2024,March,24-109,1
2024,March,24-110,0
2024,March,23-1270,1
2024,March,23-1229,1
2024,March,23-1067,1
2024,March,23-1068,0
2024,March,24-354,0
2024,March,24-422,0
2024,March,24-154,1
2024,March,23-1345,1
2024,March,24-20,1
2024,March,24-151,0
2024,March,23-1275,1
