term,docket,sitting,audio_title,audio_link
2024,23-191,October,"Oral Argument - October 07, 2024",https://api.oyez.org/case_media/oral_argument_audio/25651
2024,23-677,October,"Oral Argument - October 07, 2024",https://api.oyez.org/case_media/oral_argument_audio/25653
2024,23-852,October,"Oral Argument - October 08, 2024",https://api.oyez.org/case_media/oral_argument_audio/25650
2024,23-621,October,"Oral Argument - October 08, 2024",https://api.oyez.org/case_media/oral_argument_audio/25652
2024,22-7466,October,"Oral Argument - October 09, 2024",https://api.oyez.org/case_media/oral_argument_audio/25657
2024,23-365,October,"Oral Argument - October 15, 2024",https://api.oyez.org/case_media/oral_argument_audio/25658
2024,23-583,October,"Oral Argument - October 15, 2024",https://api.oyez.org/case_media/oral_argument_audio/25660
2024,23-713,October,"Oral Argument - October 16, 2024",https://api.oyez.org/case_media/oral_argument_audio/25661
2024,23-753,October,"Oral Argument - October 16, 2024",https://api.oyez.org/case_media/oral_argument_audio/25662
2024,23-1127,November,"Oral Argument - November 04, 2024",https://api.oyez.org/case_media/oral_argument_audio/25668
2024,23-715,November,"Oral Argument - November 05, 2024",https://api.oyez.org/case_media/oral_argument_audio/25667
2024,23-217,November,"Oral Argument - November 05, 2024",https://api.oyez.org/case_media/oral_argument_audio/25666
2024,23-980,November,"Oral Argument - November 06, 2024",https://api.oyez.org/case_media/oral_argument_audio/25664
2024,23-929,November,"Oral Argument - November 12, 2024",https://api.oyez.org/case_media/oral_argument_audio/25669
2024,23-825,November,"Oral Argument - November 12, 2024",https://api.oyez.org/case_media/oral_argument_audio/25670
2024,23-970,November,"Oral Argument - November 13, 2024",https://api.oyez.org/case_media/oral_argument_audio/25671
2024,23-929,November,"Oral Argument - November 12, 2024",https://api.oyez.org/case_media/oral_argument_audio/25669
2024,23-825,November,"Oral Argument - November 12, 2024",https://api.oyez.org/case_media/oral_argument_audio/25670
2024,23-970,November,"Oral Argument - November 13, 2024",https://api.oyez.org/case_media/oral_argument_audio/25671
2024,23-1038,December,"Oral Argument - December 02, 2024",https://api.oyez.org/case_media/oral_argument_audio/25675
2024,23-824,December,"Oral Argument - December 02, 2024",https://api.oyez.org/case_media/oral_argument_audio/25674
2024,23-867,December,"Oral Argument - December 03, 2024",https://api.oyez.org/case_media/oral_argument_audio/25672
2024,23-477,December,"Oral Argument - December 04, 2024",https://api.oyez.org/case_media/oral_argument_audio/25673
2024,23-909,December,"Oral Argument - December 09, 2024",https://api.oyez.org/case_media/oral_argument_audio/25676
2024,23-861,December,"Oral Argument - December 09, 2024",https://api.oyez.org/case_media/oral_argument_audio/25677
2024,23-975,December,"Oral Argument - December 10, 2024",https://api.oyez.org/case_media/oral_argument_audio/25678
2024,23-900,December,"Oral Argument - December 11, 2024",https://api.oyez.org/case_media/oral_argument_audio/25679
2024,24-656,January,"Oral Argument - January 10, 2025",https://api.oyez.org/case_media/oral_argument_audio/25746
2024,23-1002,January,"Oral Argument - January 13, 2025",https://api.oyez.org/case_media/oral_argument_audio/25750
2024,23-997,January,"Oral Argument - January 13, 2025",https://api.oyez.org/case_media/oral_argument_audio/25748
2024,23-1095,January,"Oral Argument - January 14, 2025",https://api.oyez.org/case_media/oral_argument_audio/25751
2024,23-971,January,"Oral Argument - January 14, 2025",https://api.oyez.org/case_media/oral_argument_audio/25752
2024,23-1122,January,"Oral Argument - January 15, 2025",https://api.oyez.org/case_media/oral_argument_audio/25753
2024,23-1187,January,"Oral Argument - January 21, 2025",https://api.oyez.org/case_media/oral_argument_audio/25756
2024,23-1226,January,"Oral Argument - January 21, 2025",https://api.oyez.org/case_media/oral_argument_audio/25754
2024,23-1239,January,"Oral Argument - January 22, 2025",https://api.oyez.org/case_media/oral_argument_audio/25755
2024,23-1007,January,"Oral Argument - January 22, 2025",https://api.oyez.org/case_media/oral_argument_audio/25757
2024,23-7809,February,"Oral Argument - February 24, 2025",https://api.oyez.org/case_media/oral_argument_audio/25760
2024,23-7483,February,"Oral Argument - February 25, 2025",https://api.oyez.org/case_media/oral_argument_audio/25761
2024,23-1324,February,"Oral Argument - February 25, 2025",https://api.oyez.org/case_media/oral_argument_audio/25758
2024,23-1039,February,"Oral Argument - February 26, 2025",https://api.oyez.org/case_media/oral_argument_audio/25762
2024,23-1201,February,"Oral Argument - March 03, 2025",https://api.oyez.org/case_media/oral_argument_audio/25763
2024,23-1259,February,"Oral Argument - March 03, 2025",https://api.oyez.org/case_media/oral_argument_audio/25764
2024,23-1141,February,"Oral Argument - March 04, 2025",https://api.oyez.org/case_media/oral_argument_audio/25768
2024,24-109,March,"Oral Argument - March 24, 2025",https://api.oyez.org/case_media/oral_argument_audio/25773
2024,23-1270,March,"Oral Argument - March 24, 2025",https://api.oyez.org/case_media/oral_argument_audio/25771
2024,23-1229,March,"Oral Argument - March 25, 2025",https://api.oyez.org/case_media/oral_argument_audio/25775
2024,23-1067,March,"Oral Argument - March 25, 2025",https://api.oyez.org/case_media/oral_argument_audio/25774
2024,24-154,March,"Oral Argument - March 31, 2025",https://api.oyez.org/case_media/oral_argument_audio/25781
2024,23-1345,March,"Oral Argument - March 31, 2025",https://api.oyez.org/case_media/oral_argument_audio/25780
2024,24-20,March,"Oral Argument - April 01, 2025",https://api.oyez.org/case_media/oral_argument_audio/25779
2024,23-1275,March,"Oral Argument - April 02, 2025",https://api.oyez.org/case_media/oral_argument_audio/25778
