docket,short_hand
23-191,Williams v. Washington
23-621,Lackey v. Stinnie
23-852,"Garland, Att'y Gen. v. VanDerStok"
22-7466,Glossip v. Oklahoma
23-365,"Medical Marijuana, Inc. v. Horn"
23-583,"Bouarfa v. Mayorkas, Sec DHS"
23-713,"Bufkin v. McDonough, Sec VA"
23-753,San Francisco v. EPA
23-677,Royal Canin v. Wullschleger
23-1127,"Wisconsin Bell, Inc. v. U.S., ex rel. Health"
23-715,Advocate Christ Medica v. Becerra
23-217,"E.M.D. Sales, Inc. v. Carrera"
23-980,"Facebook, Inc v. Amalgamated Bank"
23-929,Valazquez v. Garland
23-825,Delligatti v. United States
23-970,NVIDIA Corp. v. E. Ohman
23-1038,FDA v. Wages and White Lion
23-824,US v. Miller
23-867,Hungary v. Simon
23-477,US v. Skrmetti
23-909,Kousisis v. US
23-861,Feliciano v. DOT
23-975,Seven County Coalition v. Eagle County
23-900,Dewberry Group v. Dewberry Engineers
24-656,TikTok v. Garland
23-1002,Hewitt v. US & Duffey v. US (Consolidated)
23-997,Stanley v. City of Sanford
23-1095,Thompson v. US
23-971,Waetzig v. Halliburton
23-1122,Free Speech Coalition v. Paxton
23-1187,FDA v. R.J. Reynolds Vapor
23-1226,McLaughlin Chiropractic v. McKesson Corp.
23-1239,Barnes v. Felix
23-1007,Cunningham v. Cornell University
23-7809,Gutierrez v. Saenz
23-7483,Esteres v. US
23-1324,Perttu v. Richards
23-1039,Ames v. OH Dept. of Youth Services
23-1201,CC/Devtas v. Antrix Corp.
23-1259,BLOM Bank SAL v. Honickman
23-1141,Smith and Wesson v. Mexico
24-109,Louisiana v. Phillip Callais
24-110,Press Robinson v. Phillip Callais
23-1270,Riley v. Bondi
23-1229,EPA v. Calumet Shreveport Refining
23-1067,OK v. EPA
23-1068,PacifCorp v. EPA
24-354,FCC v. Consumers' Research
24-422,"Schools, Health & Libraries Broadband Coalition v. Consumers' Research"
24-154,Catholic Charities Bureau v. WI Labor & Review Comm
23-1345,Rivers v. Guerrero
24-20,Fuld v. PLO
24-151,US v. PLO
23-1275,Medina v. Planned Parenthood South Atlantic
