"circuit_label","Lower Court (Circuit)","Decision (Type)","Percent Outcome","Total Cases"
"1st Circuit (2)","1st Circuit","Reverse, Vacate,
(and/or) Remand",100,2
"2nd Circuit (7)","2nd Circuit","Affirmed",14.29,7
"2nd Circuit (7)","2nd Circuit","Reverse, Vacate,
(and/or) Remand",85.71,7
"3rd Circuit (4)","3rd Circuit","Affirmed",50,4
"3rd Circuit (4)","3rd Circuit","Reverse, Vacate,
(and/or) Remand",50,4
"4th Circuit (1)","4th Circuit","Reverse, Vacate,
(and/or) Remand",100,1
"5th Circuit (11)","5th Circuit","Affirmed",27.27,11
"5th Circuit (11)","5th Circuit","Reverse, Vacate,
(and/or) Remand",72.73,11
"6th Circuit (3)","6th Circuit","Reverse, Vacate,
(and/or) Remand",100,3
"7th Circuit (2)","7th Circuit","Reverse, Vacate,
(and/or) Remand",100,2
"8th Circuit (4)","8th Circuit","Affirmed",50,4
"8th Circuit (4)","8th Circuit","Reverse, Vacate,
(and/or) Remand",50,4
"9th Circuit (14)","9th Circuit","Affirmed",35.71,14
"9th Circuit (14)","9th Circuit","Other",14.29,14
"9th Circuit (14)","9th Circuit","Reverse, Vacate,
(and/or) Remand",50,14
"10th Circuit (2)","10th Circuit","Affirmed",50,2
"10th Circuit (2)","10th Circuit","Reverse, Vacate,
(and/or) Remand",50,2
"11th Circuit (4)","11th Circuit","Affirmed",75,4
"11th Circuit (4)","11th Circuit","Reverse, Vacate,
(and/or) Remand",25,4
"DC Circuit (7)","DC Circuit","Other",57.14,7
"DC Circuit (7)","DC Circuit","Reverse, Vacate,
(and/or) Remand",42.86,7
