term,coalition,count
2018,(5-4) or (5-3),20
2018,(6-3) or (6-2),10
2018,(7-2) or (7-1),8
2018,(8-1) or (8-0),7
2018,(9-0),23
2019,(5-4) or (5-3),12
2019,(6-3) or (6-2),6
2019,(7-2) or (7-1),12
2019,(8-1) or (8-0),8
2019,(9-0),18
2020,(5-4) or (5-3),9
2020,(6-3) or (6-2),12
2020,(7-2) or (7-1),5
2020,(8-1) or (8-0),9
2020,(9-0),22
2021,(5-4) or (5-3),11
2021,(6-3) or (6-2),20
2021,(7-2) or (7-1),3
2021,(8-1) or (8-0),13
2021,(9-0),15
2022,(5-4) or (5-3),7
2022,(6-3) or (6-2),11
2022,(7-2) or (7-1),6
2022,(8-1) or (8-0),5
2022,(9-0),28
2023,(5-4) or (5-3),5
2023,(6-3) or (6-2),22
2023,(7-2) or (7-1),3
2023,(8-1) or (8-0),2
2023,(9-0),27
