(9-0),(8-1),(7-2),(6-3),(5-4),(8-0)
Acheson Hotels,Gonzalez,Rudisill,Pulsifer v. U.S.,Becerra,Truck Insurance Exchange
Murray,U.S. v. Rahimi,CFPB,Wilkinson,Campos-Chavez,       
Dept. of Agric. Rural Dev.,       ,Moore v. U.S.,Warner Chappell Music Inc.,Texas,       
Greater Lakes Ins.,       ,       ,Culley,Ohio,       
McElrath,       ,       ,Alexander,Harrington,       
Trump,       ,       ,Brown v. U.S. (Cons. w. 22-6640),       ,       
O'Connor-Ratcliff,       ,       ,Thornell,       ,       
Lindke,       ,       ,U.S. Trustee v. John Q. Hammons,       ,       
FBI,       ,       ,Garland,       ,       
Bissonnette,       ,       ,Chiaverini,       ,       
Macquarie Infrastructure Corp.,       ,       ,Diaz v. U.S.,       ,       
Sheetz,       ,       ,Dept. of State,       ,       
Devillier,       ,       ,Erlinger,       ,       
Muldrow,       ,       ,Murthy,       ,       
McIntosh v. U.S.,       ,       ,Snyder v. U.S.,       ,       
Harrow,       ,       ,SEC,       ,       
Smith,       ,       ,Moyle v. U.S. (Cons. w. 23-727),       ,       
Coinbase Inc.,       ,       ,City of Grants Pass,       ,       
NRA,       ,       ,Loper Bright,       ,       
Cantero,       ,       ,Fischer v. U.S.,       ,       
Connelly,       ,       ,Corner Post Inc.,       ,       
FDA,       ,       ,Trump v. U.S.,       ,       
Vidal, Under Sec. of Comm.,       ,       ,       ,       ,       
Starbucks Corp.,       ,       ,       ,       ,       
Smith,       ,       ,       ,       ,       
Moody,       ,       ,       ,       ,       
