"Author","Opinion Type","Count"
"Alito","Concurrence",8
"Alito","Dissent",4
"Alito","Majority",4
"Barrett","Concurrence",7
"Barrett","Dissent",2
"Barrett","Majority",6
"Gorsuch","Concurrence",10
"Gorsuch","Dissent",6
"Gorsuch","Majority",6
"Jackson","Concurrence",11
"Jackson","Dissent",7
"Jackson","Majority",5
"Kagan","Concurrence",2
"Kagan","Dissent",2
"Kagan","Majority",7
"Kavanaugh","Concurrence",7
"Kavanaugh","Dissent",3
"Kavanaugh","Majority",6
"Roberts","Concurrence",1
"Roberts","Dissent",1
"Roberts","Majority",7
"Sotomayor","Concurrence",4
"Sotomayor","Dissent",7
"Sotomayor","Majority",7
"Thomas","Concurrence",11
"Thomas","Dissent",5
"Thomas","Majority",7
