"Justice","Vote","Raw Count","Percent"
"Alito","Majority",48,81.36
"Alito","Minority",10,16.95
"Barrett","Majority",54,91.53
"Barrett","Minority",5,8.47
"Gorsuch","Majority",47,79.66
"Gorsuch","Minority",12,20.34
"Jackson","Majority",43,72.88
"Jackson","Minority",16,27.12
"Kagan","Majority",42,71.19
"Kagan","Minority",17,28.81
"Kavanaugh","Majority",56,94.92
"Kavanaugh","Minority",3,5.08
"Roberts","Majority",57,96.61
"Roberts","Minority",2,3.39
"Sotomayor","Majority",42,71.19
"Sotomayor","Minority",17,28.81
"Thomas","Majority",47,79.66
"Thomas","Minority",12,20.34
