"docket_number","filing_year","total_amici","petition_granted"
"18-1",2018,0,0
"18-10",2018,0,0
"18-100",2018,0,0
"18-1000",2018,0,0
"18-1001",2018,0,0
"18-1002",2018,0,0
"18-1003",2018,0,0
"18-1004",2018,0,0
"18-1005",2018,0,0
"18-1006",2018,0,0
"18-1007",2018,0,0
"18-1008",2018,0,0
"18-1009",2018,0,0
"18-101",2018,0,0
"18-1010",2018,0,0
"18-1011",2018,0,0
"18-1012",2018,0,0
"18-1013",2018,1,0
"18-1014",2018,0,0
"18-1015",2018,0,1
"18-1016",2018,0,0
"18-1017",2018,0,0
"18-1018",2018,0,0
"18-1019",2018,9,0
"18-102",2018,0,0
"18-1020",2018,0,0
"18-1021",2018,0,0
"18-1022",2018,0,0
"18-1023",2018,12,1
"18-1024",2018,0,0
"18-1025",2018,0,0
"18-1026",2018,0,0
"18-1027",2018,0,0
"18-1028",2018,8,1
"18-1029",2018,0,0
"18-103",2018,0,0
"18-1030",2018,0,0
"18-1031",2018,0,0
"18-1032",2018,0,0
"18-1033",2018,0,0
"18-1034",2018,0,0
"18-1035",2018,0,0
"18-1036",2018,0,0
"18-1037",2018,0,0
"18-1038",2018,2,1
"18-1039",2018,0,0
"18-104",2018,0,0
"18-1040",2018,0,0
"18-1041",2018,0,0
"18-1042",2018,0,0
"18-1043",2018,0,0
"18-1044",2018,0,0
"18-1045",2018,0,0
"18-1046",2018,0,0
"18-1047",2018,0,0
"18-1048",2018,10,1
"18-1049",2018,3,0
"18-105",2018,0,0
"18-1050",2018,0,0
"18-1051",2018,0,0
"18-1052",2018,0,0
"18-1053",2018,2,0
"18-1054",2018,0,0
"18-1055",2018,0,0
"18-1056",2018,0,0
"18-1057",2018,3,0
"18-1058",2018,0,0
"18-1059",2018,4,1
"18-106",2018,6,0
"18-1060",2018,0,0
"18-1061",2018,4,0
"18-1062",2018,8,0
"18-1063",2018,0,0
"18-1064",2018,0,0
"18-1065",2018,1,0
"18-1066",2018,0,0
"18-1067",2018,0,0
"18-1068",2018,0,0
"18-1069",2018,0,0
"18-107",2018,90,1
"18-1070",2018,0,0
"18-1071",2018,0,0
"18-1072",2018,0,0
"18-1073",2018,0,0
"18-1074",2018,1,0
"18-1075",2018,0,0
"18-1076",2018,0,0
"18-1077",2018,0,0
"18-1078",2018,0,0
"18-1079",2018,0,0
"18-108",2018,0,0
"18-1080",2018,0,0
"18-1081",2018,0,0
"18-1082",2018,0,0
"18-1083",2018,0,0
"18-1084",2018,0,0
"18-1085",2018,0,0
"18-1086",2018,0,1
"18-1087",2018,0,0
"18-1088",2018,0,0
"18-1089",2018,0,0
"18-109",2018,3,0
"18-1090",2018,0,0
"18-1091",2018,0,0
"18-1092",2018,2,0
"18-1093",2018,1,0
"18-1094",2018,0,0
"18-1095",2018,0,0
"18-1096",2018,0,0
"18-1097",2018,2,0
"18-1098",2018,0,0
"18-1099",2018,0,0
"18-11",2018,0,0
"18-110",2018,1,0
"18-1100",2018,0,0
"18-1101",2018,0,0
"18-1102",2018,0,0
"18-1103",2018,0,0
"18-1104",2018,0,0
"18-1105",2018,0,0
"18-1106",2018,0,0
"18-1107",2018,0,0
"18-1108",2018,0,0
"18-1109",2018,14,1
"18-111",2018,0,0
"18-1110",2018,0,0
"18-1111",2018,0,0
"18-1112",2018,0,0
"18-1113",2018,0,0
"18-1114",2018,0,0
"18-1115",2018,0,0
"18-1116",2018,5,1
"18-1117",2018,0,0
"18-1118",2018,0,0
"18-1119",2018,0,0
"18-112",2018,0,0
"18-1120",2018,2,0
"18-1121",2018,0,0
"18-1122",2018,0,0
"18-1123",2018,0,0
"18-1124",2018,0,0
"18-1125",2018,1,0
"18-1126",2018,0,0
"18-1127",2018,0,0
"18-1128",2018,0,0
"18-1129",2018,0,0
"18-113",2018,1,0
"18-1130",2018,0,0
"18-1131",2018,0,0
"18-1132",2018,0,0
"18-1133",2018,0,0
"18-1134",2018,2,0
"18-1135",2018,0,0
"18-1136",2018,0,0
"18-1137",2018,0,0
"18-1138",2018,0,0
"18-1139",2018,2,0
"18-114",2018,0,0
"18-1140",2018,8,0
"18-1141",2018,0,0
"18-1142",2018,0,0
"18-1143",2018,0,0
"18-1144",2018,0,0
"18-1145",2018,3,0
"18-1146",2018,0,0
"18-1147",2018,0,0
"18-1148",2018,0,0
"18-1149",2018,0,0
"18-115",2018,0,0
"18-1150",2018,33,1
"18-1151",2018,0,0
"18-1152",2018,0,0
"18-1153",2018,0,0
"18-1154",2018,1,0
"18-1155",2018,0,0
"18-1156",2018,0,0
"18-1157",2018,0,0
"18-1158",2018,1,0
"18-1159",2018,1,0
"18-116",2018,0,0
"18-1160",2018,3,0
"18-1161",2018,0,0
"18-1162",2018,0,0
"18-1163",2018,1,0
"18-1164",2018,0,0
"18-1165",2018,8,1
"18-1166",2018,1,0
"18-1167",2018,0,0
"18-1168",2018,0,0
"18-1169",2018,0,0
"18-117",2018,0,0
"18-1170",2018,0,0
"18-1171",2018,13,1
"18-1172",2018,0,0
"18-1173",2018,7,0
"18-1174",2018,0,0
"18-1175",2018,0,0
"18-1176",2018,0,0
"18-1177",2018,0,0
"18-1178",2018,0,0
"18-1179",2018,0,0
"18-118",2018,0,0
"18-1180",2018,0,0
"18-1181",2018,0,0
"18-1182",2018,2,0
"18-1183",2018,0,0
"18-1184",2018,0,0
"18-1185",2018,1,0
"18-1186",2018,0,0
"18-1187",2018,0,0
"18-1188",2018,0,0
"18-1189",2018,0,0
"18-119",2018,0,0
"18-1190",2018,0,0
"18-1191",2018,0,0
"18-1192",2018,0,0
"18-1193",2018,0,0
"18-1194",2018,0,0
"18-1195",2018,54,1
"18-1196",2018,0,0
"18-1197",2018,1,0
"18-1198",2018,0,0
"18-1199",2018,8,0
"18-12",2018,7,0
"18-120",2018,0,0
"18-1200",2018,0,0
"18-1201",2018,0,0
"18-1202",2018,0,0
"18-1203",2018,0,0
"18-1204",2018,0,0
"18-1205",2018,0,0
"18-1206",2018,0,0
"18-1207",2018,1,0
"18-1208",2018,0,0
"18-1209",2018,0,0
"18-121",2018,0,0
"18-1210",2018,0,0
"18-1211",2018,0,0
"18-1212",2018,0,0
"18-1213",2018,0,0
"18-1214",2018,0,0
"18-1215",2018,0,0
"18-1216",2018,0,0
"18-1217",2018,2,0
"18-1218",2018,0,0
"18-1219",2018,1,0
"18-122",2018,0,0
"18-1220",2018,0,0
"18-1221",2018,0,0
"18-1222",2018,0,0
"18-1223",2018,1,0
"18-1224",2018,0,0
"18-1225",2018,0,0
"18-1226",2018,0,0
"18-1227",2018,0,0
"18-1228",2018,0,0
"18-1229",2018,0,0
"18-123",2018,0,0
"18-1230",2018,0,0
"18-1231",2018,0,0
"18-1232",2018,0,0
"18-1233",2018,6,1
"18-1234",2018,0,0
"18-1235",2018,0,0
"18-1236",2018,0,0
"18-1237",2018,0,0
"18-1238",2018,0,0
"18-1239",2018,0,0
"18-124",2018,0,0
"18-1240",2018,1,0
"18-1241",2018,0,0
"18-1242",2018,0,0
"18-1243",2018,0,0
"18-1244",2018,0,0
"18-1245",2018,0,0
"18-1246",2018,1,0
"18-1247",2018,0,0
"18-1248",2018,0,0
"18-1249",2018,0,0
"18-125",2018,0,0
"18-1250",2018,0,0
"18-1251",2018,0,0
"18-1252",2018,0,0
"18-1253",2018,0,0
"18-1254",2018,0,0
"18-1255",2018,0,0
"18-1256",2018,0,0
"18-1257",2018,0,0
"18-1258",2018,0,0
"18-1259",2018,14,1
"18-126",2018,0,0
"18-1260",2018,0,0
"18-1261",2018,0,0
"18-1262",2018,0,0
"18-1263",2018,0,0
"18-1264",2018,0,0
"18-1265",2018,0,0
"18-1266",2018,0,0
"18-1267",2018,0,0
"18-1268",2018,0,0
"18-1269",2018,1,1
"18-127",2018,1,0
"18-1270",2018,0,0
"18-1271",2018,0,0
"18-1272",2018,0,0
"18-1273",2018,0,0
"18-1274",2018,0,0
"18-1275",2018,0,0
"18-1276",2018,0,0
"18-1277",2018,0,0
"18-1278",2018,0,0
"18-1279",2018,0,0
"18-128",2018,0,0
"18-1280",2018,5,0
"18-1281",2018,0,0
"18-1282",2018,0,0
"18-1283",2018,0,0
"18-1284",2018,0,0
"18-1285",2018,2,0
"18-1286",2018,0,0
"18-1287",2018,3,0
"18-1288",2018,0,0
"18-1289",2018,0,0
"18-129",2018,0,0
"18-1290",2018,0,0
"18-1291",2018,0,0
"18-1292",2018,0,0
"18-1293",2018,2,0
"18-1294",2018,0,0
"18-1295",2018,0,0
"18-1296",2018,0,0
"18-1297",2018,0,0
"18-1298",2018,0,0
"18-1299",2018,0,0
"18-13",2018,0,0
"18-130",2018,0,0
"18-1300",2018,0,0
"18-1301",2018,0,0
"18-1302",2018,0,0
"18-1303",2018,0,0
"18-1304",2018,0,0
"18-1305",2018,0,0
"18-1306",2018,3,0
"18-1307",2018,0,0
"18-1308",2018,0,0
"18-1309",2018,2,0
"18-131",2018,0,0
"18-1310",2018,0,0
"18-1311",2018,0,0
"18-1312",2018,0,0
"18-1313",2018,0,0
"18-1314",2018,0,0
"18-1315",2018,0,0
"18-1316",2018,0,0
"18-1317",2018,3,0
"18-1318",2018,0,0
"18-1319",2018,0,0
"18-132",2018,0,0
"18-1320",2018,0,0
"18-1321",2018,0,0
"18-1322",2018,0,0
"18-1323",2018,73,1
"18-1324",2018,0,0
"18-1325",2018,0,0
"18-1326",2018,0,0
"18-1327",2018,0,0
"18-1328",2018,0,0
"18-1329",2018,0,0
"18-133",2018,0,0
"18-1330",2018,0,0
"18-1331",2018,0,0
"18-1332",2018,0,0
"18-1333",2018,0,0
"18-1334",2018,16,1
"18-1335",2018,0,0
"18-1336",2018,0,0
"18-1337",2018,0,0
"18-1338",2018,0,0
"18-1339",2018,0,0
"18-134",2018,0,0
"18-1340",2018,0,0
"18-1341",2018,1,0
"18-1342",2018,0,0
"18-1343",2018,0,0
"18-1344",2018,0,0
"18-1345",2018,0,0
"18-1346",2018,0,0
"18-1347",2018,0,0
"18-1348",2018,0,0
"18-1349",2018,0,0
"18-135",2018,0,0
"18-1350",2018,0,0
"18-1351",2018,0,0
"18-1352",2018,0,0
"18-1353",2018,0,0
"18-1354",2018,0,0
"18-1355",2018,0,0
"18-1356",2018,0,0
"18-1357",2018,0,0
"18-1358",2018,0,0
"18-1359",2018,0,0
"18-136",2018,0,0
"18-1360",2018,0,0
"18-1361",2018,0,0
"18-1362",2018,1,0
"18-1363",2018,0,0
"18-1364",2018,0,0
"18-1365",2018,0,0
"18-1366",2018,0,0
"18-1367",2018,0,0
"18-1368",2018,0,0
"18-1369",2018,0,0
"18-137",2018,0,0
"18-1370",2018,0,0
"18-1371",2018,0,0
"18-1372",2018,0,0
"18-1373",2018,0,0
"18-1374",2018,0,0
"18-1375",2018,0,0
"18-1376",2018,0,0
"18-1377",2018,0,0
"18-1378",2018,0,0
"18-1379",2018,0,0
"18-138",2018,0,0
"18-1380",2018,0,0
"18-1381",2018,0,0
"18-1382",2018,0,0
"18-1383",2018,0,0
"18-1384",2018,0,0
"18-1385",2018,0,0
"18-1386",2018,1,0
