case_name,speaker,total_words
Charles G. Moore Et Ux. v. United States,Grossman,6086
Charles G. Moore Et Ux. v. United States,Prelogar,8663
Damian Mcelrath v. Georgia,Simpson,2523
Damian Mcelrath v. Georgia,Petrany,3792
Jatonya Clayborn Muldrow v. City Of St. Louis Missouri Et Al.,Brown,2589
Jatonya Clayborn Muldrow v. City Of St. Louis Missouri Et Al.,Wolfman,3176
Jatonya Clayborn Muldrow v. City Of St. Louis Missouri Et Al.,Loeb,3178
Justin Rashaad Brown v. United States,Adler,3532
Justin Rashaad Brown v. United States,Raynor,3565
Justin Rashaad Brown v. United States,Green,1991
Securities And Exchange Commission v. George R. Jarkesy Jr. Et Al.,Fletcher,8863
Securities And Exchange Commission v. George R. Jarkesy Jr. Et Al.,McColloch,4735
Situ Kamu Wilkinson v. Merrick B. Garland Attorney General,Sinzdak,4161
Situ Kamu Wilkinson v. Merrick B. Garland Attorney General,Santos,4732
William K. Harrington United States Trustee Region 2 v. Purdue Pharma L.p. Et Al.,Gannon,6509
William K. Harrington United States Trustee Region 2 v. Purdue Pharma L.p. Et Al.,Garre,3291
William K. Harrington United States Trustee Region 2 v. Purdue Pharma L.p. Et Al.,Shah,2364
