case_name,speaker,total_words
Department Of Agriculture Rural Development Rural Housing Service v. Reginald Kirtz,Snyder,4717
Department Of Agriculture Rural Development Rural Housing Service v. Reginald Kirtz,Joshi,3479
Halima Tariffa Culley Et Al. v. Steven T. Marshall Attorney General Of Alabama Et Al.,LaCour,2912
Halima Tariffa Culley Et Al. v. Steven T. Marshall Attorney General Of Alabama Et Al.,Reaves,1489
Halima Tariffa Culley Et Al. v. Steven T. Marshall Attorney General Of Alabama Et Al.,Dvoretzky,5506
James R. Rudisill v. Denis R. Mcdonough Secretary Of Veterans Affairs,Tseytlin,3554
James R. Rudisill v. Denis R. Mcdonough Secretary Of Veterans Affairs,Suri,3281
Katherine K. Vidal Under Secretary Of Commerce For Intellectual Property And Director United States Patent And Trademark Office v. Steve Elster,Taylor,3969
Katherine K. Vidal Under Secretary Of Commerce For Intellectual Property And Director United States Patent And Trademark Office v. Steve Elster,Stewart,4827
Kevin Lindke v. James R. Freed,Kedem,4257
Kevin Lindke v. James R. Freed,Hansford,2894
Kevin Lindke v. James R. Freed,Ferres,2037
Michelle O'connor-Ratcliff Et Al. v. Christopher Garnier Et Ux.,Mooppan,5474
Michelle O'connor-Ratcliff Et Al. v. Christopher Garnier Et Ux.,Karlan,3756
Michelle O'connor-Ratcliff Et Al. v. Christopher Garnier Et Ux.,Joshi,2167
United States v. Zackey Rahimi,Prelogar,6845
United States v. Zackey Rahimi,Wright,5050
