case_name,speaker,total_words
Acheson Hotels LLC v. Deborah Laufer,Unikowsky,3771
Acheson Hotels LLC v. Deborah Laufer,Ross,2854
Acheson Hotels LLC v. Deborah Laufer,Corkran,2784
Alexander v. South Carolina State Conference Of The Naacp,Flynn,2570
Alexander v. South Carolina State Conference Of The Naacp,Gore,5254
Alexander v. South Carolina State Conference Of The Naacp,Aden,2542
Consumer Financial Protection Bureau Et Al. v. Community Financial Services Association Of America Limited Et Al.,Prelogar,5821
Consumer Financial Protection Bureau Et Al. v. Community Financial Services Association Of America Limited Et Al.,Francisco,4959
Great Lakes Insurance Se v. Raiders Retreat Realty Co. LLC,Bashman,3043
Great Lakes Insurance Se v. Raiders Retreat Realty Co. LLC,Wall,4505
Mark E. Pulsifer v. United States,Liu,4232
Mark E. Pulsifer v. United States,Dvoretzky,5213
Trevor Murray v. Ubs Securities LLC Et Al.,Yang,2707
Trevor Murray v. Ubs Securities LLC Et Al.,Anand,2834
Trevor Murray v. Ubs Securities LLC Et Al.,Scalia,3392
