"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici"
"Snyder v. United States","04/15/2024","Lisa S. Blatt","Colleen R. Sindzak","","CA7",2,7
"Chiaverini v. City of Napoleon, Ohio","04/15/2024","Easha Anand","Vivek Suri","Megan M. Wold","CA6",1,8
"Fischer v. United States","04/16/2024","Jeffrey T. Green","Elizabeth B. Prelogar","","CADC",1,11
"Thornell v. Jones","04/17/2024","Jason D. Lewis","Jean-Claude Andre","","CA9",0,4
"City of Grants Pass, Oregon v. Johnson","04/22/2024","Thomas D. Evangelis","Edwin S. Kneedler","Kelsi B. Corkran","CA9",25,84
"Smith v. Spizzirri","04/22/2024","Daniel L. Geyser","E. Joshua Rosenkranz","","CA9",0,3
"Department of State v. Munoz","04/23/2024","Curtis E. Gannon","Eric T. Lee","","CA9",0,16
"Starbucks Corp. v. McKinney","04/23/2024","Lisa S. Blatt","Austin Raynor","","CA6",3,13
"Moyle v. United States","04/24/2024","Joshua N. Turner","Elizabeth B. Prelogar","","CA9",0,45
"Trump v. United States","04/25/2024","D. John Sauer","Michael R. Dreeben","","CADC",8,36
