"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici"
"MURTHY v. MISSOURI","03/18/2024","Brian Fletcher","J. Benjamin Aguinaga","","CA5","5",44
"NRA v. VULLO","03/18/2024","David Cole","Neal Katyal","Ephraim McDowell","CA2","7",32
"GUADALUPE DIAZ v. UNITED STATES","03/19/2024","Jeffrey Fisher","Matthew Guarnieri","","CA9","0",3
"TRUCK INSURANCE EXCHANGE v. KAISER GYPSUM CO.","03/19/2024","Allyson Ho","C. Kevin Marshall (Debtor) & David Frederick (Claimant)","Anthony Yang","CA4","1",7
"GONZALEZ v. TREVINO","03/20/2024","Anya Bidwell","Lisa Blatt","Nicole Reaves","CA5","7",16
"TEXAS v. NEW MEXICO & COLORADO","03/20/2024","Frederick Lui","Lanora Pettit (Texas) & Jeffrey Wechsler (New Mexico)","","Orig.","NA",7
"BECERRA v. SAN CARLOS APACHE TRIBE (Con. w/ 23-253)","03/25/2024","Carolyn Flynn","Adam Unikowsky (23-253) & Lloyd Miller (23-250)","Lloyd Miller (23-250)","CA9 & CA10","0",4
"HARROW v. DOD","03/25/2024","Joshua Davis","Aimee w. Brown","","CAFC","0",5
"FDA v. ALLIANCE FOR HIPPOCRATIC MEDICINE (Con. w/ 23-236)","03/26/2024","Elizabeth Prelogar (Federal) & Jessica Ellsworth (Danco)","Erin Hawley","","CA5","14",74
"ERLINGER v. UNITED STATES","03/27/2024","Jeffrey Fisher","Eric Feigin (Resp. Supporting Petitioner)","D. Nick Harper","CA7","0",3
"THOMAS A. CONNELLY v. UNITED STATES","03/27/2024","Kannon Shanmugam","Yaira Dubin","","CA8","0",3
