"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici","Sitting"
"Pulsifer v. U.S. ","10/02/2023","Shay Dvoretzky","Frederick Liu","","CA8",0,4,"October"
"CFPB v. Community Financial Services","10/03/2023","Elizabeth Prelogar","Noel Francisco","","CA5",2,29,"October"
"Acheson Hotels v. Laufer","10/04/2023","Adam Unikowsky","Kelsi Corkran","Erica Ross","CA1",5,15,"October"
"Murray v. UBS Securities","10/10/2023","Easha Anand","Eugene Scalia","Anthony Yang","CA2",2,12,"October"
"Great Lakes Insurance v. Raiders Resort Realty","10/10/2023","Jeffrey Wall","Howard Bashman","","CA3",0,7,"October"
"Alexander v. South Carolina State Conference of the NAACP","10/11/2023","John Gore","Leah Aden","Caroline Flynn","Dist S.C.",2,14,"October"
"Culley v. Marshall","10/30/2023","Shay Dvoretzky","Edmund LaCour, Jr.","Nicole Reaves","CA11",3,11,"November"
"O'Connor Ratcliff v. Garnier","10/31/2023","Hashim Moonpan","Pamela Karlan","Sopan Joshi","CA9",0,14,"November"
"Lindke v. Freed","10/31/2023","Allon Kedem","Victoria Ferres","Masha Hansford","CA6",0,11,"November"
"Vidal v. Elster","11/01/2023","Malcolm Stewart","Jonathan Taylor","","CAFed",1,7,"November"
"Dept. of Agric. Rural Div. v. Kirtz","11/06/2023","Benjamin Snyder","Nandan Joshi","","CA3",0,2,"November"
"U.S. v. Rahimi","11/07/2023","Elizabeth Prelogar","J. Matthew Wright","","CA5",7,60,"November"
"Rudisill v. McDonough","11/08/2023","Misha Tseytlin","Vivek Suri","","CAFed",4,11,"November"
"Brown v. United States &
 Jackson v. United States","11/27/2023","Jeffrey T. Green 
(For Brown) & 
 Andrew Lee Adler 
(For Jackson)","Austin Raynor","","CA3 
& CA11",1,4,"December"
"McElrath v. Georgia","11/28/2023","Richard A. Simpson","Stephen J. Petrany","","SCGA",1,4,"December"
"Wilkinson v. Garland, Att'y Gen.","11/28/2023","Jamie A. Santos","Colleen R. Sinzdak","","CA3",0,3,"December"
"SEC v. Jarkesy","11/29/2023","Brian H. Fletcher","S. Michael McColloch","","CA5",0,38,"December"
"Harrington v. Purdue Pharma L.P.","12/04/2023","Curtis E. Gannon","Gregory G. Garre (For Purdue Pharma L.P) & Pratik A. Shah 
(For Unsecured Creditors","","CA2",0,26,"December"
"Moore v. United States","12/05/2023","Andrew M. Grossman","Elizabeth B. Prelogar","","CA9",8,43,"December"
"Muldrow v. St. Louis","12/06/2023","Brian Wolfman","Robert M. Loeb","Aimee W. Brown","CA8",3,12,"December"
"CAMPOS-CHAVES V. GARLAND, ATT’Y GEN &
 GARLAND, ATT’Y. GEN. V. SINGH
(Consolidated)","01/08/2024","Easha Anand","Charles L. McCloud","","CA5",0,5,"January"
"FBI V. FIKRE","01/08/2024","Sopan Joshi","Gadeir Abbas","","CA9",0,10,"January"
"SHEETZ V. COUNTY OF EL DORADO","01/09/2024","Paul J. Beard II","Aileen M. McGrath","Erica L. Ross","Cal. Ct. App.",5,23,"January"
"UNITED STATES TRUSTEE V. JOHN Q. HAMMONS FALL 2006, LLC","01/09/2024","Masha G. Hansford","Daniel L. Geyser","","CA10",0,6,"January"
"SMITH V. ARIZONA","01/10/2024","Hari Santhanam","Alexander W. Samuels","Eric J. Feigin","Ariz. Ct. App.",0,10,"January"
