short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Corner Post Inc. v. BD. Of Governors FRS,34.55,4.12,1.55,2.47,2.55,5.91,4.66,4.22,2.09,6.98
Bissonnette v. LePage Bakeries,17.74,1.73,1.23,0.66,2.3,0.2,0.62,5.96,1.84,3.2
Ohio v. EPA (Cons. w. 23A350; 23A351; 23A384),35.12,3.92,1.04,2.76,5.28,5.42,3.03,5.75,1.52,6.4
Warner Chappell Music Inc. v. Nealy,13.05,0.59,0.9,1.95,2.35,0.46,3.11,0.1,1.6,1.99
Moody v. Netchoice LLC,65.14,2.91,6.26,6.39,8.55,10.08,6.39,8.71,7.08,8.77
Netchoice LLC v. Paxton,26.45,4.18,1.19,5.07,2.23,1.73,4.07,1.11,3.24,3.63
McIntosh v. U.S.,17.26,2.35,0.51,1.68,3.32,0.93,2.75,0.35,0,5.37
Cantero v. Bank of America,40.64,1.02,1.14,7.87,4.08,5.75,4.4,5.68,2.83,7.87
Garland v. Cargill,42.29,1.32,2.44,3.05,4.87,7.94,3.78,3.49,2.21,13.19
Coinbase Inc. v. Suski,17.6,1.96,0.92,0.63,1.77,0.46,3.83,2.13,1.1,4.8
Trump v. Anderson,67.35,6.78,3.48,10.05,7.83,7.18,7.4,7.83,6.69,10.11
