case_name,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Corner Post Inc. v. BD. Of Governors FRS,699,207,400,363,956,859,798,427,1198
Bissonnette v. LePage Bakeries,265,150,117,377,39,121,996,372,535
Ohio v. EPA (Cons. w. 23A350; 23A351; 23A384),590,143,408,782,973,620,1008,346,1159
Warner Chappell Music Inc. v. Nealy,81,127,330,387,84,695,27,384,355
Moody v. Netchoice LLC,395,843,971,1206,1703,1087,1378,1443,1542
Netchoice LLC v. Paxton,736,134,773,366,284,693,263,630,657
McIntosh v. U.S.,405,72,244,474,167,474,56,NA,936
Cantero v. Bank of America,124,137,1251,625,1081,893,1004,595,1356
Garland v. Cargill,200,335,471,766,1403,664,702,500,2440
Coinbase Inc. v. Suski,326,119,110,265,75,767,366,222,862
Trump v. Anderson,1125,482,1623,1146,1295,1296,1278,1292,1667
